Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Instagram,Twitter,Facebook,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber,Telegram 1,Telegram 2,YouTube,Широта,Долгота,2GIS URL,Тип
Divan_showroom,,Мебель для кухни; Мягкая мебель,"улица Шамши Калдаяков, 29",,,,Сарайшык район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.8,44,87074231437,,,,,,,https://instagram.com/divan_showroom,,,,https://wa.me/77074231437,,,,,,,51.112326,71.501706,https://2gis.com/firm/70000001065452191,branch
Dm Furniture,,Мебель для кухни; Мягкая мебель; Мебель для ванных комнат; Офисная мебель; Корпусная мебель,"проспект Акжол, 50",1 этаж,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,5.0,9,87782477753,87771930613,,,,,,https://instagram.com/dm.furniture.kz,,,,https://wa.me/77782477753,https://wa.me/77771930613,,,,,,51.178085,71.469546,https://2gis.com/firm/70000001087738599,branch
Dolonait,мебельная фабрика,Мебель для кухни; Мебель на заказ; Корпусная мебель; Детская мебель; Офисная мебель; Мебель для ванных комнат,"улица Бактыораза Бейсекбаева, 29",,,,Байконыр район,Астана,,Астана,Казахстан,"Пн: 09:00-13:00, 14:00-20:00; Вт: 09:00-13:00, 14:00-20:00; Ср: 09:00-13:00, 14:00-20:00; Чт: 09:00-13:00, 14:00-20:00; Пт: 09:00-13:00, 14:00-20:00; Сб: 10:00-14:00",+05:00,4.3,16,87750717375,,,,,,,https://instagram.com/dolonait_mebel,,,,https://wa.me/77750717375,,,,,,,51.17398,71.461307,https://2gis.com/firm/70000001032323409,branch
Dos Mebel,,Мебель для кухни; Корпусная мебель; Матрасы; Мягкая мебель,"улица Сакена Сейфуллина, 47","15/2, 21/2, 55 место; 6 этаж",,,Байконыр район,Астана,,Астана,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+05:00,4.9,34,87066062628,87784298015,,,,,,https://instagram.com/dos___mebel,,,,https://wa.me/77066062628,https://wa.me/77784298015,,,,,,51.172982,71.437433,https://2gis.com/firm/70000001063855518,branch
El-Ganiyy,,Мебель для кухни; Мебельные магазины; Мягкая мебель; Мебель на заказ,"улица Айша биби, 11 стр",,,,,,Целиноградский район,Акмолинская область,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+05:00,5.0,17,87476873333,87000824042,,,,,,https://instagram.com/el_ganiyy_01,,,,https://wa.me/77476873333,https://wa.me/77000824042,,,,,,51.106277,71.211927,https://2gis.com/firm/70000001087512433,branch
Estetmebel,мебельная компания,Мебель для кухни; Корпусная мебель; Мебель на заказ; Детская мебель,"улица Тоныкок, 33",,,,,Косшы,Косшы городская администрация,Акмолинская область,Казахстан,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 09:00-19:00,+05:00,5.0,14,87019001931,,,,,,,https://instagram.com/estetmebel_,,,,https://wa.me/77019001931,,,,,,,50.967977,71.379753,https://2gis.com/firm/70000001024694216,branch
Eva Mebel,мебельный салон,Мебель для кухни; Мебель на заказ; Корпусная мебель; Детская мебель; Мебель для учебных учреждений; Мебельные магазины,"Александр Кравцов улица, 5/3",,,Целинный м-н,Байконыр район,Астана,,Астана,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00,+05:00,5.0,30,87004348004,,,,,,,https://instagram.com/eva.mebel.astana,,,,https://wa.me/77004348004,,,,,,,51.15806,71.452932,https://2gis.com/firm/70000001018104225,branch
Exclusive-Damu,мебельный салон,Мебель для кухни; Мебель на заказ; Корпусная мебель,"улица Шокана Уалиханова, 24",311 бутик; 3 этаж,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.8,48,87017971011,87077777303,,,,,,https://instagram.com/mebel_tulpar,,,,https://wa.me/77017971011,https://wa.me/77077777303,,,,,,51.174567,71.438999,https://2gis.com/firm/70000001019405605,branch
Fabriq,салон фабричной мебели,Мебель для кухни; Корпусная мебель; Мебель на заказ,"улица Турар Рыскулов, 3",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 10:00-18:00; Вс: 10:00-18:00,+05:00,5.0,11,87477820828,,,,,,,https://instagram.com/fabriq_by,,,,https://wa.me/77477820828,,,,,,,51.086899,71.408119,https://2gis.com/firm/70000001082885061,branch
Family.kz,,Мебель для кухни; Корпусная мебель; Матрасы; Мягкая мебель,"улица Шокана Уалиханова, 24",205 бутик; 2 этаж,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.1,9,87783030226 (руководитель),87789210552 (менеджер),,,,,,https://instagram.com/family_mebel.kz,,,,,,,,,,,51.174567,71.438999,https://2gis.com/firm/70000001087009248,branch
Family.kz,,Мебель для кухни; Корпусная мебель; Матрасы; Мягкая мебель,"улица Жолымбетская, 43",5 этаж,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 10:00-18:00; Вс: 10:00-18:00,+05:00,3.9,14,87751717026 (менеджер),87783030226 (руководитель),,,,,,https://instagram.com/family_mebel.kz,,,,,,,,,,,51.199883,71.468133,https://2gis.com/firm/70000001087009179,branch
Ferdinand Wood,,Мебель для кухни; Мебель на заказ; Корпусная мебель; Офисная мебель,"улица Алихан Бокейхан, 29Б",НП: 9,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 10:00-14:00,+05:00,5.0,14,87777985050,,,,,,,https://instagram.com/ferdinand_wood_kz,,,,https://wa.me/77777985050,,,,https://t.me/+77777985050,,,51.082654,71.429837,https://2gis.com/firm/70000001065547744,branch
Fiducia,,Мебель для кухни; Мебель на заказ; Корпусная мебель; Офисная мебель; Торгово-выставочное оборудование; Мебель для ванных комнат; Стеллажи и витрины,"улица Ыкылас Дукенулы, 31/2",2 цех; 1 этаж,,,Сарыарка район,Астана,,Астана,Казахстан,"Пн: 10:00-13:00, 14:00-20:00; Вт: 10:00-13:00, 14:00-20:00; Ср: 10:00-13:00, 14:00-20:00; Чт: 10:00-13:00, 14:00-20:00; Пт: 10:00-13:00, 14:00-20:00; Сб: 10:00-13:00, 14:00-20:00; Вс: 10:00-13:00, 14:00-20:00 (по предварительной записи)",+05:00,4.9,47,87059708674,,,,,,,https://instagram.com/fiducia.business,,,,https://wa.me/77059708674,,,,,,,51.183004,71.435401,https://2gis.com/firm/70000001089528191,branch
Full house,,Мебель для кухни; Мебель на заказ; Корпусная мебель,"проспект Туран, 53в",3 этаж,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.1,54,87087264303,87001001180,,,,,,https://instagram.com/full_house.kz,,,,https://wa.me/77087264303,,,,,,,51.116986,71.398385,https://2gis.com/firm/70000001065322706,branch
Furnico,,Мебель для кухни; Мебельная фурнитура; Герметики и клеи; Сантехника; Облицовочные материалы для мебели,"улица Бактыораза Бейсекбаева, 23/1",1 этаж,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 11:00-18:00,+05:00,4.7,9,87013457715,87074577664,,,,,,https://instagram.com/furnico_astana,,,,,,,,,,,51.172632,71.460076,https://2gis.com/firm/70000001089676534,branch
Furnicom.kz,,Мебель для кухни; Мебель на заказ; Корпусная мебель,"улица Евгения Брусиловского, 21",1 этаж,,,Байконыр район,Астана,,Астана,Казахстан,"Пн: 09:00-13:00, 14:00-18:00; Вт: 09:00-13:00, 14:00-18:00; Ср: 09:00-13:00, 14:00-18:00; Чт: 09:00-13:00, 14:00-18:00; Пт: 09:00-13:00, 14:00-18:00; Сб: 09:00-13:00, 14:00-18:00",+05:00,4.5,6,87016831418,87028602086,,,,,,https://instagram.com/furnicom.kz,,,,https://wa.me/77016831418,https://wa.me/77028602086,,,,,,51.170554,71.462803,https://2gis.com/firm/70000001055686246,branch
Futurist,компания по продаже стульев,Мебель для кухни; Мебель для общественного питания; Мягкая мебель; Офисная мебель; Мебель на заказ,"Аль-Фараби проспект, 21/1",3 офис,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 10:00-18:00; Вс: 10:00-18:00 (по предварительной записи),+05:00,4.6,29,87015309870,87476045023,,,,,,https://instagram.com/futurist.kz,,,,https://wa.me/77476045023,,,,,,,51.09209,71.447461,https://2gis.com/firm/70000001059726250,branch
Gaik Furniture,,Мебель для кухни; Мебель на заказ; Офисная мебель; Корпусная мебель; Мебель для ванных комнат,"улица Ер Косай, 22",напротив M-service,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,"Пн: 10:00-13:00, 14:00-18:00; Вт: 10:00-13:00, 14:00-18:00; Ср: 10:00-13:00, 14:00-18:00; Чт: 10:00-13:00, 14:00-18:00; Пт: 10:00-13:00, 14:00-18:00; Сб: 10:00-14:00",+05:00,5.0,6,87770352322,,,,,,,https://instagram.com/gaik_furniture,,,,https://wa.me/77770352322,,,,,,,51.143688,71.505837,https://2gis.com/firm/70000001094392567,branch
Gala_divan_stol,,Мебель для кухни; Мягкая мебель; Мебельные магазины; Корпусная мебель,"улица Жолымбетская, 43",5 этаж,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.9,26,87022461895,,,,,,,https://instagram.com/gala_divan_stol,,,,https://wa.me/77022461895,,,,,,,51.199883,71.468133,https://2gis.com/firm/70000001068416065,branch
garand_mebel_group,,Мебель для кухни; Мебель на заказ; Корпусная мебель,,,,,,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00 (по предварительной записи),+05:00,3.1,48,87077740447,,,,,,,https://instagram.com/garant_mebel_group,,,,https://wa.me/77077740447,,,,,,,,,https://2gis.com/firm/70000001100605311,branch
Garant_divan01,мебельная компания,Мебель для кухни; Мягкая мебель,"улица Жумекен Нажимеденов, 15",,,,Сарайшык район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,5.0,15,87776925052,,,,,,,https://instagram.com/garant_divan01,,,,https://wa.me/77776925052,,,,,,,51.113878,71.511739,https://2gis.com/firm/70000001113811748,branch
Gold mebel,мебельная компания,Мебель для кухни; Корпусная мебель; Детская мебель; Офисная мебель; Распиловка древесины; Мебельные фасады; Мебель на заказ,"Альмукан Сембинов улица, 13",1 этаж,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+05:00,4.9,15,87089090031,,,,,,,https://instagram.com/gold_mebel__astana,,,,https://wa.me/77089090031,,,,,,,51.171325,71.451294,https://2gis.com/firm/70000001076587534,branch
Grand divan,магазин мягкой мебели,Мебель для кухни; Мягкая мебель; Мебельные магазины,"проспект Бауыржан Момышулы, 28/12Б",,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,3.8,12,87789948824,,,,,,,https://instagram.com/grand_divan01,,,,https://wa.me/77789948824,,,,,,,51.146323,71.501418,https://2gis.com/firm/70000001083496555,branch
Grand_mebel.astana,,Мебель для кухни; Мебель на заказ; Корпусная мебель; Офисная мебель; Мебель для ванных комнат; Детская мебель; Ремонт мебели,"улица Алихан Бокейхан, 16/3",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+05:00,5.0,15,87780411339,87008552776,,,,,,https://instagram.com/grand_mebel.astana,,,,https://wa.me/77780411339,,,,,,,51.104908,71.43284,https://2gis.com/firm/70000001063905135,branch
GrandMaster,мебельная компания,Мебель для кухни; Мебель на заказ; Корпусная мебель; Мягкая мебель; Детская мебель; Офисная мебель,"улица Толе би, 50",,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+05:00,4.8,10,87011907407,,,,,,,https://instagram.com/grandmaster_mebel,,,,https://wa.me/77011907407,,,,,,,51.132851,71.397912,https://2gis.com/firm/70000001088979074,branch
Home mebel,мебельный салон,Мебель для кухни; Мягкая мебель; Корпусная мебель; Офисная мебель,"улица Кайым Мухамедханов, 8",,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-17:00; Вт: 10:00-17:00; Ср: 10:00-17:00; Чт: 10:00-17:00; Пт: 10:00-17:00; Сб: 10:00-17:00; Вс: 10:00-17:00,+05:00,4.6,14,87084185828,87023465042,,,,,,https://instagram.com/home_mebel_astana_,,,,https://wa.me/77084185828,https://wa.me/77023465042,,,,,,51.140312,71.382221,https://2gis.com/firm/70000001088192882,branch
House Interiors,салон мебели,Мебель для кухни; Мягкая мебель; Садово-парковая мебель,,,,,,Астана,,Астана,Казахстан,Пн: 10:00-17:00; Вт: 10:00-17:00; Ср: 10:00-17:00; Чт: 10:00-17:00; Пт: 10:00-17:00,+05:00,4.3,6,87788088171,,,,,,,https://instagram.com/house.interiors.kz,,,,https://wa.me/77788088171,,,,,,,,,https://2gis.com/firm/70000001055314305,branch
Hygge.mebel,,Мебель для кухни; Мебель на заказ; Корпусная мебель; Офисная мебель; Детская мебель,"улица Сагадат Нурмагамбетов, 27/1",,,,Сарайшык район,Астана,,Астана,Казахстан,"Пн: 10:00-13:00, 14:00-19:00; Вт: 10:00-13:00, 14:00-19:00; Ср: 10:00-13:00, 14:00-19:00; Чт: 10:00-13:00, 14:00-19:00; Пт: 10:00-13:00, 14:00-19:00; Сб: 10:00-13:00, 14:00-17:00 (по предварительной записи)",+05:00,5.0,10,87064261044,,,,,,,https://instagram.com/hygge.mebel,,,,https://wa.me/77064261044,,,,https://t.me/hyggem,,,51.12071,71.482282,https://2gis.com/firm/70000001077759425,branch
ID Group,,Мебель для кухни; Дизайн интерьеров; Архитектурное проектирование; Мебель на заказ; Детская мебель; Корпусная мебель; Мебель для ванных комнат; Офисная мебель; Проектирование инженерных систем; Ремонт мебели; Ремонт помещений,"улица Тарас Шевченко, 4/1",512 офис; 5 этаж,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 10:00-18:00; Вс: 10:00-18:00,+05:00,4.6,11,87064304476,,,,,,,https://instagram.com/id_group_astana,,,,https://wa.me/77064304476,,,,https://t.me/+77064304476,,,51.160607,71.402911,https://2gis.com/firm/70000001060802997,branch
Idea House,,Мебель для кухни; Мебель на заказ; Детская мебель; Офисная мебель; Корпусная мебель,"Бухар жырау улица, 19",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 10:00-18:00; Вс: 10:00-18:00,+05:00,3.9,7,87474767087,,,,,,,,,,,https://wa.me/77474767087,,,,,,,51.100672,71.425947,https://2gis.com/firm/70000001042674154,branch
Ideal mebel,,Мебель для кухни; Мебельная фурнитура; Мебель на заказ; Корпусная мебель; Офисная мебель; Мебельные ткани; Мягкая мебель,"улица Туркестан, 10",18 бутик; цокольный этаж; вход в Korkem center,,,Есиль район,Астана,,Астана,Казахстан,Пн: 11:00-19:30; Вт: 11:00-19:30; Ср: 11:00-19:30; Чт: 11:00-19:30; Пт: 11:00-19:30; Сб: 11:00-19:30; Вс: 11:00-19:30,+05:00,4.8,25,87755687150,,,,,,,https://instagram.com/ideal_mebel_astana,,,,https://wa.me/77755687150,,,,,,,51.111071,71.426133,https://2gis.com/firm/70000001090610937,branch
Ideal_mebel.ast,мебельная компания,Мебель для кухни; Мебель на заказ; Корпусная мебель; Детская мебель; Офисная мебель,"Керей, Жанибек хандар улица, 22",цокольный этаж; вход со стороны ул. Туркестан,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,2.4,13,87076290505,,,,,,,https://instagram.com/ideal_mebel.ast,,,,https://wa.me/77076290505,,,,,,,51.112313,71.426721,https://2gis.com/firm/70000001101251261,branch
Ilyaspromebel,,Мебель для кухни; Мебель на заказ; Корпусная мебель,"улица Александра Пушкина, 27/4",,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00,+05:00,5.0,9,87078554831,,,,,,,https://instagram.com/ilyaspromebel,,,,https://wa.me/77078554831,,,,,,,51.16642,71.473037,https://2gis.com/firm/70000001082057707,branch
Inkomebel,,Мебель для кухни; Мебель на заказ; Корпусная мебель,"Альмукан Сембинов улица, 27",3 офис; 1 этаж,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00 (по предварительной записи),+05:00,5.0,44,87026720498,,,,,,,https://instagram.com/inkomebel,,,,https://wa.me/77026720498,,,,,,,51.176312,71.454994,https://2gis.com/firm/70000001052441983,branch
Intera,,Мебель для кухни; Мебель на заказ; Корпусная мебель; Мягкая мебель,"улица Жошы хан, 14/1",НП: 25,,,Есиль район,Астана,,Астана,Казахстан,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00 (по предварительной записи),+05:00,4.2,9,87711614141,,,,,,,https://instagram.com/intera_mebel_astana,,,,https://wa.me/77711614141,,,,,,,51.103206,71.441417,https://2gis.com/firm/70000001094431334,branch
Interio,,Мебель для кухни; Мебель на заказ; Корпусная мебель; Мебель для ванных комнат,"Мукан Тулебаев улица, 25",,,Промышленный ж/м,Сарайшык район,Астана,,Астана,Казахстан,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 10:00-18:00; Вс: 10:00-18:00,+05:00,4.9,21,87786679199,87072024474,,,,,,https://instagram.com/interio.astana,,,,https://wa.me/77786679199,,,,,,,51.134223,71.529589,https://2gis.com/firm/70000001082644596,branch
Interwood Kazakhstan,,Мебель для кухни; Мебель на заказ; Корпусная мебель; Мебель для ванных комнат,"проспект Тауелсиздик, 34/2",44 офис; 2 этаж,,,Алматы район,Астана,,Астана,Казахстан,"Пн: 09:00-13:00, 14:00-18:00; Вт: 09:00-13:00, 14:00-18:00; Ср: 09:00-13:00, 14:00-18:00; Чт: 09:00-13:00, 14:00-18:00; Пт: 09:00-13:00, 14:00-18:00",+05:00,5.0,20,87475737925,,,,,,,https://instagram.com/interwood_kazakhstan,,,,https://wa.me/77475737925,,,,,,,51.138538,71.467498,https://2gis.com/firm/70000001057271697,branch
Iwoodmebel,,Мебель для кухни; Мебель на заказ; Мягкая мебель; Корпусная мебель,"шоссе Алаш, 26/4",,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.3,6,87056357647,87760977000,,,,,,https://instagram.com/iwoodmebel,,,,https://wa.me/77760977000,https://wa.me/77056357647,,,,,,51.197174,71.478646,https://2gis.com/firm/70000001094276424,branch
Izi__home,цех,Мебель для кухни; Мягкая мебель; Офисная мебель; Мебель для общественного питания; Мебель на заказ; Бескаркасная мебель,"улица Конституции, 15а",2 этаж,,Агрогородок м-н,Сарыарка район,Астана,,Астана,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-18:00; Вс: 10:00-18:00,+05:00,4.6,13,87777720777,87076997072,,,,,,https://instagram.com/izi__home,,,,https://wa.me/77777720777,https://wa.me/77076997072,,,https://t.me/+77777720777,,,51.195447,71.394523,https://2gis.com/firm/70000001072920808,branch
Jihaz Lux,,Мебель для кухни; Мягкая мебель; Корпусная мебель; Мебельные магазины,"шоссе Коргалжын, 13/3",2 этаж,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.2,11,87753953558,,,,,,,https://instagram.com/_jihaz_lux,,,,https://wa.me/77753953558,,,,,,,51.147176,71.381002,https://2gis.com/firm/70000001084071622,branch
Jihaz_o1,мебельная компания,Мебель для кухни; Мебель на заказ; Корпусная мебель; Детская мебель; Офисная мебель,"улица Александр Герцен, 32",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00,+05:00,5.0,13,87009629816,,,,,,,https://instagram.com/jihaz_o1,,,,https://wa.me/77009629816,,,,,,,51.203775,71.373147,https://2gis.com/firm/70000001092731361,branch
Kaz Mebel Astana,,Мебель для кухни; Мебель на заказ; Корпусная мебель; Мягкая мебель,"переулок Куляш Байсеитовой, 8",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00,+05:00,3.7,9,87014731092,87052645750,,,,,,,,,,https://wa.me/77014731092,https://wa.me/77052645750,,,,,,51.196428,71.359811,https://2gis.com/firm/70000001044678603,branch
Kazakh_mebel1,мебельная компания,Мебель для кухни; Мебель на заказ; Корпусная мебель; Детская мебель; Офисная мебель,"Альмукан Сембинов улица, 36/3",,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00,+05:00,4.9,18,87081044736,,,,,,,https://instagram.com/kazakh_mebel1,,,,https://wa.me/77081044736,,,,,,,51.177513,71.458124,https://2gis.com/firm/70000001103496991,branch
Kazopt,склад,Мебель для кухни; Бытовая техника; Посуда; Средства радиосвязи,"улица Шаймерден Косшыгулулы, 20",цокольный этаж; вход с ул. Косшыгулулы,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,5.0,5,87472260105,,,,,,,https://instagram.com/kazopt01,,,,https://wa.me/77472260105,,,,,,,51.172179,71.380919,https://2gis.com/firm/70000001088139601,branch
Kelebek,салон мебели,Мебель для кухни; Мягкая мебель; Корпусная мебель; Мебель на заказ; Детская мебель; Матрасы; Мебельные магазины,"проспект Туран, 53в",3 этаж,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.9,9,87012125940,,,,,,,https://instagram.com/kelebekkazakhstan,,,,https://wa.me/77012125940,,,,,,,51.116747,71.399504,https://2gis.com/firm/70000001102000217,branch
Ken,мебельный цех,"Мебель для кухни; Мебель на заказ; Распиловка древесины; Мебельные фасады; ЛДСП, ДВПО, МДФ; Корпусная мебель","улица Шары Жиенкуловой, 18/7",,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00 (по предварительной записи),+05:00,5.0,36,87013429272,,,,,,,https://instagram.com/mebelken,,,,https://wa.me/77013429272,,,,,,,51.18127,71.450572,https://2gis.com/firm/70000001059269607,branch
Keń Jihaz,цех по изготовлению мебели,Мебель для кухни; Мебель на заказ; Корпусная мебель; Мебель для ванных комнат; Мебель для салонов красоты; Мебель для общественного питания; Мебель для учебных учреждений; Мебель для культурно-досуговых учреждений,"улица Берел, 25",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00,+05:00,4.6,17,87085441207,,,,,,,https://instagram.com/ken_jihaz01,,,,https://wa.me/77085441207,,,,,,,51.17916,71.394088,https://2gis.com/firm/70000001105119850,branch
