Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram,Facebook,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber,Telegram,YouTube,Широта,Долгота,2GIS URL,Тип
K1 Barbershop,,Барбершопы,"улица Ахмет Байтурсынулы, 23 блок А",1 этаж,,,Сарайшык район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.9,161,87023265131,,,,,,,https://instagram.com/k1.barbershop,,,https://wa.me/77023265131,,,,,,51.123034,71.481164,https://2gis.com/firm/70000001097588464,branch
Khanzada,барбершоп,Барбершопы,"Бухар жырау улица, 28",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,5.0,514,87767244477,,,,,,,https://instagram.com/khanzada_barbershop,,,https://wa.me/77767244477,,,,,,51.101271,71.415541,https://2gis.com/firm/70000001065398225,branch
Legenda,парикмахерская,Барбершопы,"улица Темирбек Жургенов, 19",,,,Сарайшык район,Астана,,Астана,Казахстан,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+05:00,5.0,22,87015068686,,,,,,,,,,https://wa.me/77015068686,,,,,,51.118637,71.501746,https://2gis.com/firm/70000001114791286,branch
ma4ete,барбершоп,Барбершопы,"улица Жумекен Нажимеденов, 28/1",,,,Сарайшык район,Астана,,Астана,Казахстан,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+05:00,5.0,31,87079526992,,,,,,,https://instagram.com/ma4ete.astana,,,https://wa.me/77079526992,,,,,,51.114995,71.492674,https://2gis.com/firm/70000001113783757,branch
Malavita,барбершоп,Барбершопы; Обучение мастеров для салонов красоты,"проспект Улы Дала, 31",,,,Нура район,Астана,,Астана,Казахстан,Ср: 11:00-21:00; Чт: 11:00-21:00; Пт: 11:00-21:00; Сб: 11:00-21:00; Вс: 11:00-21:00,+05:00,4.9,60,87771381920,,,,,,,https://instagram.com/alisher_zhunusbayev,,,https://wa.me/77771381920,,,,,,51.100386,71.399698,https://2gis.com/firm/70000001078907322,branch
Mantis,барбершоп,Барбершопы,"улица Шамши Калдаяков, 28",,,,Сарайшык район,Астана,,Астана,Казахстан,Пн: 11:00-21:00; Вт: 11:00-21:00; Ср: 11:00-21:00; Чт: 11:00-21:00; Пт: 11:00-21:00; Сб: 11:00-21:00; Вс: 11:00-21:00,+05:00,5.0,8,87711655553,,,,,,,,,,https://wa.me/77711655553,,,,,,51.112084,71.494536,https://2gis.com/firm/70000001116006314,branch
Medeu,барбершоп,Барбершопы,"улица Жанкент, 52",,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 11:00-01:00; Вт: 11:00-01:00; Ср: 11:00-01:00; Чт: 11:00-01:00; Пт: 11:00-01:00; Сб: 11:00-01:00; Вс: 11:00-01:00,+05:00,5.0,118,87752707396,,,,,,,,,,https://wa.me/77752707396,,,,,,51.13694,71.501834,https://2gis.com/firm/70000001115919668,branch
Modern,барбершоп,Барбершопы,"проспект Туран, 37",цокольный этаж,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.8,21,87021581096,,,,,,,https://instagram.com/modern004,,,https://wa.me/77021581096,,,,,,51.132299,71.403991,https://2gis.com/firm/70000001065457924,branch
Most,барбершоп,Барбершопы,"Кабанбай батыр проспект, 29",,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,5.0,56,87072604548,,,,,,,https://instagram.com/most_barbershop01,,,https://wa.me/77072604548,,,,,,51.123901,71.411912,https://2gis.com/firm/70000001114824859,branch
Muslim,,Барбершопы,"Кабанбай батыр проспект, 36/2",1 кабинет; 1 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+05:00,5.0,103,87001170997,,,,,,,https://instagram.com/magzhanbasymbek_97,,,https://wa.me/77001170997,,,,,,51.126251,71.416444,https://2gis.com/firm/70000001087560787,branch
Myrza,,Барбершопы,"Александр Кравцов улица, 9",,,Целинный м-н,Байконыр район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,5.0,110,87773915927,,,,,,,https://instagram.com/myrza.barbershop,,,https://wa.me/77773915927,,,,,,51.156296,71.453022,https://2gis.com/firm/70000001110323216,branch
NewYork,,Барбершопы,"улица Кордай, 37а",,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00,+05:00,4.7,23,87479864006,,,,,,,,,,https://wa.me/77479864006,,,,,,51.139354,71.499451,https://2gis.com/firm/70000001115436697,branch
NewYork,,Барбершопы,"улица Кордай, 81",,,,Сарайшык район,Астана,,Астана,Казахстан,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+05:00,4.6,50,87786462388,,,,,,,,,,https://wa.me/77786462388,,,,,,51.128874,71.506524,https://2gis.com/firm/70000001110508055,branch
NewYork,,Барбершопы,"улица Кенесары, 45",,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00,+05:00,4.9,230,87713851750,87074326271,,,,,,,,,https://wa.me/77074326271,,,,,,51.165965,71.429135,https://2gis.com/firm/70000001099961453,branch
NewYork,,Барбершопы,"проспект Ракымжан Кошкарбаев, 34",цокольный этаж,,,Сарайшык район,Астана,,Астана,Казахстан,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+05:00,5.0,175,87781899337,,,,,,,https://instagram.com/graf_barber.shop,,,https://wa.me/77781899337,,,,,,51.1249,71.484812,https://2gis.com/firm/70000001095528410,branch
NewYork,,Барбершопы,"улица Кордай, 58/1",,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 10:00-01:00; Вт: 10:00-01:00; Ср: 10:00-01:00; Чт: 10:00-01:00; Пт: 10:00-01:00; Сб: 10:00-01:00; Вс: 10:00-01:00,+05:00,4.9,179,87780102628,,,,,,,,,,https://wa.me/77780102628,,,,,,51.132415,71.505139,https://2gis.com/firm/70000001093103840,branch
NewYork,,Барбершопы,"улица Каныш Сатпаев, 11",,,3 м-н,Алматы район,Астана,,Астана,Казахстан,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00,+05:00,4.9,335,87757427272,87073297539,,,,,,,,,https://wa.me/77757427272,,,,,,51.148096,71.470334,https://2gis.com/firm/70000001044059260,branch
Notting Hill,барбершоп,Барбершопы,"Керей, Жанибек хандар улица, 44",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.9,157,87775655544,,,,,,,https://instagram.com/nottinghillbarbershop,,,https://wa.me/77775655544,,,,,,51.107263,71.447252,https://2gis.com/firm/70000001098166041,branch
Nurba,барбершоп,Барбершопы,"улица Жумекен Нажимеденов, 16а",цокольный этаж,,,Сарайшык район,Астана,,Астана,Казахстан,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+05:00,4.6,219,87711023057,,,,,,,https://instagram.com/nurba_barbershop_astana,,,https://wa.me/77711023057,,,,,,51.117444,71.476782,https://2gis.com/firm/70000001090812502,branch
Office 6,барбершоп,Барбершопы,"улица Алихан Бокейхан, 42",,010000,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.9,224,87020946866,,,,,,,https://instagram.com/office6bs,,,https://wa.me/77020946866,,,,,,51.088789,71.427336,https://2gis.com/firm/70000001076138668,branch
Qult,барбершоп,Барбершопы,"улица Е-899, 5/3",,,,Нура район,Астана,,Астана,Казахстан,Пн: 11:00-21:00; Вт: 11:00-21:00; Ср: 11:00-21:00; Чт: 11:00-21:00; Пт: 11:00-21:00; Сб: 11:00-21:00; Вс: 11:00-21:00,+05:00,4.9,57,87711965043,,,,,,,https://instagram.com/qult.barbershop,,,https://wa.me/77711965043,,,,,,51.138206,71.388292,https://2gis.com/firm/70000001109640872,branch
Raid,барбершоп,Барбершопы,"улица Темирбек Жургенов, 19",,,,Сарайшык район,Астана,,Астана,Казахстан,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00,+05:00,4.7,67,87057419539,,,,,,,https://instagram.com/raid.barbershop,,,https://wa.me/77757001069,,,,,,51.118066,71.501518,https://2gis.com/firm/70000001114097529,branch
Raid,барбершоп,Барбершопы,"проспект Ракымжан Кошкарбаев, 54а",,,,Сарайшык район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.9,270,87777545401,,,,,,,https://instagram.com/raid.barbershop,,,https://wa.me/77777545401,,,,,,51.129097,71.499521,https://2gis.com/firm/70000001090219668,branch
S14,барбершоп,Барбершопы,"улица Сауран, 14",цокольный этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00 (по предварительной записи),+05:00,4.9,277,87056718772,,,,,,,,,,https://wa.me/77056718772,,,,,,51.115406,71.419728,https://2gis.com/firm/70000001068524244,branch
Sage barbershop,,Барбершопы,"улица Шамши Калдаяков, 6",,,,Сарайшык район,Астана,,Астана,Казахстан,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+05:00,4.9,71,87017344600,,,,,,,https://instagram.com/kimax_barber_sage,,,https://wa.me/77017344600,,,,,,51.118058,71.458946,https://2gis.com/firm/70000001094135387,branch
Saqal коке,,Барбершопы; Обучение мастеров для салонов красоты,"улица Жошы хан, 1/2",,010000,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+05:00,4.9,321,87073023023,,,saqal.koke@gmail.com,,,,https://instagram.com/saqal.koke,,,https://wa.me/77073023023,,,,,,51.095721,71.435117,https://2gis.com/firm/70000001100455515,branch
Senior,барбершоп,Барбершопы,"проспект Мангилик Ел, 51/2",цокольный этаж,010000,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,5.0,112,87759090996,,,,,,,https://instagram.com/barbershop_senior_astana,,,https://wa.me/77759090996,,,,,,51.095355,71.423504,https://2gis.com/firm/70000001078530101,branch
Sensei,барбершоп,Барбершопы,"улица Кажымукан, 12Б",,,4 м-н,Алматы район,Астана,,Астана,Казахстан,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00 (по предварительной записи),+05:00,4.9,316,87010360222,,,,,,,https://instagram.com/senseibbarbershop,,,https://wa.me/77010360222,,,,,,51.153948,71.467815,https://2gis.com/firm/70000001072131311,branch
Shoms_ik,кабинет барбера,Барбершопы,"улица Анет баба, 2",в салоне ES.Body,010000,,Нура район,Астана,,Астана,Казахстан,Вт: 11:00-21:00; Ср: 11:00-21:00; Чт: 11:00-21:00; Пт: 11:00-21:00; Сб: 11:00-21:00; Вс: 11:00-21:00 (по предварительной записи),+05:00,5.0,56,87073345152,,,,,,,https://instagram.com/shoms_ik,,,https://wa.me/77073345152,,,,,,51.131377,71.384304,https://2gis.com/firm/70000001101405894,branch
Skala,,Барбершопы,"улица Жумекен Нажимеденов, 54",НП: 10,,,Сарайшык район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,5.0,139,87776998333,,,,,,,https://instagram.com/skala.kz,,,https://wa.me/77776998333,,,,,,51.110713,71.525006,https://2gis.com/firm/70000001110073246,branch
Spirito Royal,барбершоп,Барбершопы,"улица Касым Кайсенов, 6",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.9,417,87777240240,,,,,,,https://instagram.com/spiritoroyal.barbershop01,,,https://wa.me/77777240240,,,,,,51.097204,71.445796,https://2gis.com/firm/70000001104888317,branch
Spirito Royal,барбершоп,Барбершопы,"проспект Улы Дала, 58",НП: 7,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,5.0,460,87008691010,,,,,,,https://instagram.com/spiritoroyal.barbershop01,,,https://wa.me/77008691010,,,,,,51.096948,71.412239,https://2gis.com/firm/70000001103703986,branch
Stil,,Барбершопы,"улица Ахмет Байтурсынулы, 47",,010000,,Сарайшык район,Астана,,Астана,Казахстан,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+05:00,4.9,173,87071540851,87074209086,,,,,,,,,https://wa.me/77071540851,,,,,,51.118147,71.512475,https://2gis.com/firm/70000001110596679,branch
Stilist,,Барбершопы,"улица Бердибек Сокпакбаев, 16",цокольный этаж,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00 (по предварительной записи),+05:00,4.9,81,87054502053,,,,,,,https://instagram.com/barber_akif,,,https://wa.me/77054502053,,,,https://t.me/+77054502053,,51.173012,71.388864,https://2gis.com/firm/70000001069393384,branch
Stolichny,барбершоп,Барбершопы,"улица Сарайшык, 40",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.7,13,87778268995,,,,,,,https://instagram.com/Stolichny.barbershop,,,https://wa.me/77778268995,,,,,,51.132349,71.438025,https://2gis.com/firm/70000001109554071,branch
Surf Barbershop,,Барбершопы,"улица Кайым Мухамедханов, 8",,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00 (по предварительной записи),+05:00,5.0,40,87077530928,,,,,,,https://instagram.com/surf_barbershop,,,https://wa.me/77475122174,,,,,,51.139831,71.382015,https://2gis.com/firm/70000001065624924,branch
Svoy bro,,Барбершопы,"улица Чингиз Айтматов, 34",цокольный этаж,,,Нура район,Астана,,Астана,Казахстан,Пн: 11:00-20:00; Вт: 11:00-20:00; Ср: 11:00-20:00; Чт: 11:00-20:00; Пт: 11:00-20:00; Сб: 11:00-20:00; Вс: 11:00-20:00,+05:00,4.9,39,87759126654,,,,,,,,,,https://wa.me/77759126654,,,,,,51.13106,71.362922,https://2gis.com/firm/70000001046912609,branch
Tau,барбершоп,Барбершопы,"улица Култегин, 17",НП: 2,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.9,102,87780991349,,,,,,,https://instagram.com/tau_barbershop01,,,https://wa.me/77780991349,,,,,,51.137609,71.373816,https://2gis.com/firm/70000001104288636,branch
The Shelby,,Барбершопы,"проспект Шакарим Кудайбердыулы, 33",,,,Алматы район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.9,199,87771146601,,,,,,,https://instagram.com/ts__barbershop,,,https://wa.me/77771146601,,,,,,51.15351,71.507508,https://2gis.com/firm/70000001112729862,branch
Tör,барбершоп,Барбершопы,"улица Аманжол Болекпаев, 22",цокольный этаж,010000,,Сарайшык район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,5.0,142,87076006800 (барбершоп),,,,,,,https://instagram.com/tor.barbershop.astana,,,https://wa.me/77076006800,,,,,,51.120596,71.51028,https://2gis.com/firm/70000001103753566,branch
Tör,барбершоп,Барбершопы,"улица Касым Кайсенов, 2",НП: 8,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.9,285,87776116671 (отдел записи),,,,,,,https://instagram.com/tor.barbershop.astana,,,https://wa.me/77776116671,,,,,,51.094564,71.443971,https://2gis.com/firm/70000001095070167,branch
Traditional Barbershop,,Барбершопы,"проспект Мангилик Ел, 41/2",,010000,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.9,438,87475678866,,,,,,,https://instagram.com/traditionalbarbershop.kz,,,https://wa.me/77475678866,,,,,,51.100799,71.427551,https://2gis.com/firm/70000001036483273,branch
Triumph Barbershop,,Барбершопы; Обучение мастеров для салонов красоты,"Аль-Фараби проспект, 17",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 11:00-21:00; Вт: 11:00-21:00; Ср: 11:00-21:00; Чт: 11:00-21:00; Пт: 11:00-21:00; Сб: 11:00-21:00; Вс: 11:00-21:00,+05:00,4.9,841,87760008144,,,,,,,https://instagram.com/triumph_barbershop_,,,https://wa.me/77760008144,,,,https://t.me/+77760008144,,51.094026,71.449493,https://2gis.com/firm/70000001077459169,branch
TTM,барбершоп,Барбершопы,"улица Малика Габдуллина, 16",,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+05:00,5.0,368,87757077648,,,,,,,https://instagram.com/ttmbarbershop2024,,,https://wa.me/77757077648,,,,,,51.164775,71.432112,https://2gis.com/firm/70000001084173113,branch
Turan,барбершоп,Барбершопы,"улица Сакена Сейфуллина, 9",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,5.0,160,87757760998,,,,,,,,,,https://wa.me/77757760998,,,,,,51.169212,71.405344,https://2gis.com/firm/70000001093624736,branch
Union,,Барбершопы; Обучение мастеров для салонов красоты,"улица Кенесары, 4",2 этаж,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,5.0,7,87773533355,,,,,,,https://instagram.com/esbarbershop,,https://vk.com/esbarbershop,https://wa.me/77773533355,,,viber://chat/?number=77773533355,https://t.me/esbarbershop,,51.161762,71.401466,https://2gis.com/firm/70000001052611887,branch
uralbarber_,барбершоп,Барбершопы,"улица Жумекен Нажимеденов, 4",,,,Сарайшык район,Астана,,Астана,Казахстан,Пн: 11:00-20:00; Вт: 11:00-20:00; Ср: 11:00-20:00; Чт: 11:00-20:00; Пт: 11:00-20:00; Сб: 11:00-20:00; Вс: 11:00-20:00,+05:00,5.0,28,87478062726,,,,,,,https://instagram.com/uralbarber_,,,https://wa.me/77478062726,,,,,,51.120233,71.45987,https://2gis.com/firm/70000001103797496,branch
Westman,барбершоп,Барбершопы,"улица Кенесары, 4Б",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00 (по предварительной записи),+05:00,4.9,38,87756556575,,,,,,,,,,https://wa.me/77756556575,,,,,,51.161019,71.402585,https://2gis.com/firm/70000001098551403,branch
X Town,барбершоп,Барбершопы,"улица Азильхан Нуршаихов, 6/1",2 этаж,,,Нура район,Астана,,Астана,Казахстан,Пн: 11:00-22:00; Вт: 11:00-22:00; Ср: 11:00-22:00; Чт: 11:00-22:00; Пт: 11:00-22:00; Сб: 11:00-22:00; Вс: 11:00-22:00,+05:00,4.9,103,87071733113,,,,,,,,,,https://wa.me/77071733113,,,,,,51.12917,71.361771,https://2gis.com/firm/70000001093042967,branch
Али,,Барбершопы,"улица Жумекен Нажимеденов, 15",,,,Сарайшык район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,5.0,26,87055421525,,,,,,,,,,https://wa.me/77055421525,,,,,,51.113636,71.510483,https://2gis.com/firm/70000001114628385,branch
Алтай,барбершоп,Барбершопы,"Кабанбай батыр проспект, 59Б",,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.6,115,87084973118,,,,,,,https://instagram.com/altaybarbershop_astana,,,https://wa.me/77070553118,,,,https://t.me/+77070553118,,51.077016,71.397015,https://2gis.com/firm/70000001105149929,branch
Әли,барбершоп,Барбершопы,"Е-67 улица, 8",,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+05:00,5.0,347,87781710386,,,,,,,,,,https://wa.me/77781710386,,,,,,51.125712,71.398294,https://2gis.com/firm/70000001099976364,branch
Бакс,барбершоп,Барбершопы,"улица Жумекен Нажимеденов, 16а",,,,Сарайшык район,Астана,,Астана,Казахстан,Пн: 09:00-24:00; Вт: 09:00-24:00; Ср: 09:00-24:00; Чт: 09:00-24:00; Пт: 09:00-24:00; Сб: 09:00-24:00; Вс: 09:00-24:00 (по предварительной записи),+05:00,5.0,66,87018200555,,,,,,,,,,https://wa.me/77018200555,,,,,,51.117551,71.476825,https://2gis.com/firm/70000001112607806,branch
Барбершоп,,Барбершопы,"улица Илияса Есенберлина, 11",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 09:30-21:00; Вт: 09:30-21:00; Ср: 09:30-21:00; Чт: 09:30-21:00; Пт: 09:30-21:00; Сб: 09:30-21:00; Вс: 09:30-21:00,+05:00,4.7,34,87024131533,,,,,,,https://instagram.com/begalinov777,,,https://wa.me/77053427527,,,,,,51.190993,71.408615,https://2gis.com/firm/70000001082659917,branch
Барбершоп,,Барбершопы,"Алиби Жангельдина улица, 42",26 бутик; 1 этаж,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.9,9,87023846763,,,,,,,,,,https://wa.me/77023846763,,,,,,51.17537,71.433452,https://2gis.com/firm/70000001023440903,branch
Достық,,Барбершопы,"проспект Ракымжан Кошкарбаев, 34",2 этаж; напротив меховой салон Ayajan Toktassyn,,,Сарайшык район,Астана,,Астана,Казахстан,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 08:00-24:00; Вс: 08:00-24:00,+05:00,4.9,79,87771032315,,,,,,,,,,https://wa.me/77771032315,,,,,,51.125225,71.482758,https://2gis.com/firm/70000001113243322,branch
Өзге,,Барбершопы,"улица Чингиз Айтматов, 79",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,5.0,35,87066784147,87084144250,,,,,,,,,https://wa.me/77084144250,,,,,,51.16762,71.373805,https://2gis.com/firm/70000001112682700,branch
