Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Instagram,Facebook,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber,Telegram,YouTube,Широта,Долгота,2GIS URL,Тип
Ансар,бизнес-центр,Бизнес-центры; Аренда помещений,"улица Сыганак, 43",1-16 этаж,,,Есиль район,Астана,,Астана,Казахстан,"Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00 (администрация: пн-пт 9:00-18:00, перерыв: 13:00-14:00)",+05:00,4.9,283,87172550633,,,,,,,,,https://wa.me/77013056765,,,,,,51.123342,71.431069,https://2gis.com/firm/70000001028064268,branch
Арбат,бизнес центр,Бизнес-центры,"улица Орлыкол, 2/1",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,4.8,103,87015207965,87012200028,,,,,,,,,,,,,,51.184564,71.423149,https://2gis.com/firm/70000001065571946,branch
Аргымак,бизнес-центр,Бизнес-центры,"проспект Абая, 24/1",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00 (администрация: пн-пт 10:00-18:00),+05:00,4.9,40,87172320892,,,,,,,,,,,,,,,51.167756,71.423217,https://2gis.com/firm/70000001018081572,branch
Арнау,бизнес-центр,Бизнес-центры; Аренда помещений,"улица Малика Габдуллина, 5",,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 07:00-21:00; Вт: 07:00-21:00; Ср: 07:00-21:00; Чт: 07:00-21:00; Пт: 07:00-21:00; Сб: 07:00-21:00; Вс: 07:00-21:00,+05:00,4.7,101,87077512747 (администратор),,,,,,,,,,,,,,,51.159273,71.43234,https://2gis.com/firm/70000001036694476,branch
Аружан,бизнес-центр,Бизнес-центры; Аренда помещений,"Илияса Жансугурова улица, 8/2",,,,Алматы район,Астана,,Астана,Казахстан,"Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00 (отдел аренды: пн-пт 9:00-18:00, перерыв: 13:00-14:00)",+05:00,4.9,94,87014099727 (администратор),87014858415 (отдел маркетинга),87073846272 (администрация),arenda1@arujan.kz,,,,,,,,,,,,51.16033,71.484125,https://2gis.com/firm/70000001018081949,branch
Астана,бизнес-центр,Бизнес-центры,"Керей, Жанибек хандар улица, 12а",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 08:00-19:00; Вт: 08:00-19:00; Ср: 08:00-19:00; Чт: 08:00-19:00; Пт: 08:00-19:00; Сб: 08:00-19:00; Вс: 08:00-19:00,+05:00,4.9,34,87172333499 (администрация),,,,,,,,,,,,,,,51.115259,71.414519,https://2gis.com/firm/70000001025935689,branch
Астаналық,бизнес-центр,Бизнес-центры,"улица Динмухамед Конаев, 33",,,,Есиль район,Астана,,Астана,Казахстан,"Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-20:00; Вс: 08:00-20:00 (администрация: пн-пт 9:00-18:00, перерыв: 13:00-14:00)",+05:00,4.9,212,87172501922,87172501974,,,,,,,,,,,,,,51.130712,71.435006,https://2gis.com/firm/70000001018083127,branch
Асыл Тау,бизнес-центр,Бизнес-центры,"улица Алматы, 1",,,,Есиль район,Астана,,Астана,Казахстан,"Пн: 07:00-22:00; Вт: 07:00-22:00; Ср: 07:00-22:00; Чт: 07:00-22:00; Пт: 07:00-22:00; Сб: 07:00-22:00; Вс: 07:00-22:00 (администрация: пн-пт 9:00-18:00, перерыв: 13:00-15:00; сб 9:00-13:00)",+05:00,4.8,124,87172543330,87012420617,87172543338 (администратор),,,,,https://instagram.com/asyltau_businesscenter,,https://wa.me/77012420617,,,,,,51.118519,71.413865,https://2gis.com/firm/70000001018083707,branch
Аура,бизнес-центр,Бизнес-центры; Аренда помещений,"улица Ермек Серкебаев, 25",,010000,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+05:00,5.0,8,87011286834,,,,,,,,,https://wa.me/77011286834,,,,,,51.165445,71.380844,https://2gis.com/firm/70000001063208750,branch
Аурика,бизнес-центр,Бизнес-центры; Аренда помещений,"улица Куйши Дина, 17",1-6 этаж,,6 м-н,Алматы район,Астана,,Астана,Казахстан,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-20:00; Вс: 08:00-20:00,+05:00,4.9,30,87172400596,87172400595,,,,,,,,,,,,,,51.148077,71.476777,https://2gis.com/firm/70000001029793822,branch
Аффари,бизнес-центр,Бизнес-центры,"улица Азербайжана Мамбетова, 24",2 этаж,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00 (администрация: пн-пт 9:00-18:30; сб 10:00-14:00),+05:00,4.9,88,87027533152 (отдел аренды),,,,,,,https://instagram.com/bckaskad_bcaffari,,https://wa.me/77027533152,,,,,,51.165808,71.423434,https://2gis.com/firm/70000001027490015,branch
Бейбитшилик-2002,бизнес-центр,Бизнес-центры,"улица Бейбитшилик, 18",,,,Сарыарка район,Астана,,Астана,Казахстан,"Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00 (администрация: пн-пт 9:00-18:00, перерыв: 13:00-14:00)",+05:00,4.4,9,87172323702,,,,,,,,,,,,,,,51.172085,71.420472,https://2gis.com/firm/70000001029030182,branch
Бизнес-центр,,Бизнес-центры; Аренда помещений,"шоссе Коргалжын, 13Б",106 офис; 1 этаж,,,Нура район,Астана,,Астана,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,4.5,27,87011007334 (коммерческий отдел),87784300906 (отдел аренды),,,,,,,,https://wa.me/77011007334,https://wa.me/77784300906,,,,,51.147854,71.385655,https://2gis.com/firm/70000001111856811,branch
Бизнес-центр,,Бизнес-центры,"улица Сакена Сейфуллина, 40",НП: 7А,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00 (администрация: пн-пт 9:00-18:00; сб 9:00-14:00),+05:00,1.4,33,87019106023,87172436983,,,,,,,,,,,,,,51.171602,71.429869,https://2gis.com/firm/70000001018606643,branch
Болашак,бизнес-центр,Бизнес-центры,"проспект Сарыарка, 3/1",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00 (администрация: пн-пт 9:00-18:00),+05:00,4.9,55,87172954140 (администрация),87013223128 (администратор),,,,,,,,,,,,,,51.16036,71.409153,https://2gis.com/firm/70000001018085520,branch
Галерея,бизнес-центр,Бизнес-центры,"улица Динмухамед Конаев, 29",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+05:00,5.0,5,87056531195 (администрация),,,,,,,,,https://wa.me/77056531195,,,,,,51.131571,71.428027,https://2gis.com/firm/70000001100103647,branch
Держава,бизнес-центр,Бизнес-центры,"Кабанбай батыр проспект, 2/2",,,Шубар м-н,Есиль район,Астана,,Астана,Казахстан,"Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00 (администрация: пн-вс 8:00-17:00, перерыв: 13:00-14:00)",+05:00,4.9,59,87011800500,,,,,,,,,https://wa.me/77011800500,,,,,,51.150253,71.427564,https://2gis.com/firm/70000001030076369,branch
Дияр,бизнес-центр,Бизнес-центры,"улица Ермек Серкебаев, 13",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+05:00,4.9,219,87172578246,,,,,,,,,,,,,,,51.167172,71.388621,https://2gis.com/firm/70000001035242092,branch
Есей,бизнес-центр,Бизнес-центры,"Альмукан Сембинов улица, 25",24 офис; 2 этаж,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 08:00-18:00; Вт: 08:00-18:00; Ср: 08:00-18:00; Чт: 08:00-18:00; Пт: 08:00-18:00; Сб: 08:00-18:00 (администрация: пн-пт 8:00-19:00; сб 8:00-13:00),+05:00,5.0,44,87172521323 (администрация),,,,,,,,,,,,,,,51.175958,71.454582,https://2gis.com/firm/70000001018092025,branch
Жана-Арка,бизнес-центр,Бизнес-центры,"проспект Шакарим Кудайбердыулы, 17/1",,,,Алматы район,Астана,,Астана,Казахстан,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+05:00,4.0,31,87172276496,,,,,,,,,,,,,,,51.158834,71.496042,https://2gis.com/firm/70000001019483112,branch
Жарык,бизнес-центр,Бизнес-центры,"улица Беимбет Майлин, 8/1",1-3 этаж,,,Алматы район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.9,33,87767182228,,,,,,,,,,,,,,,51.143266,71.469533,https://2gis.com/firm/70000001030084183,branch
Империя,бизнес-центр,Бизнес-центры,"улица Сакена Сейфуллина, 27/3",1-4 этаж,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,5.0,70,87172322212,87017224253,,,,,,,,,,,,,,51.172305,71.422069,https://2gis.com/firm/70000001045343884,branch
Іскер,бизнес-центр,Бизнес-центры; Аренда помещений,"проспект Абая, 13",1-15 этаж,,,Сарыарка район,Астана,,Астана,Казахстан,"Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 07:00-23:00; Вс: 07:00-23:00 (администрация: пн-пт 9:00-18:00, перерыв: 13:00-14:00)",+05:00,4.9,125,87006339966 (администратор),87084256014 (служба охраны),,,,,,https://instagram.com/abm_group.kz,,,,,,,,51.166735,71.407699,https://2gis.com/firm/70000001018096917,branch
Каскад,бизнес-центр,Бизнес-центры,"Кабанбай батыр проспект, 6/1",,,Шубар м-н,Есиль район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00 (администрация: пн-пт 9:00-18:00),+05:00,4.9,230,87172925003,87027533152 (отдел аренды),,,,,,https://instagram.com/bckaskad_bcaffari,,https://wa.me/77027533152,,,,,,51.1462,71.4234,https://2gis.com/firm/70000001018098902,branch
Кен Дала,бизнес-центр,Бизнес-центры,"улица Отырар, 15",605 офис; 6 этаж,,,Байконыр район,Астана,,Астана,Казахстан,"Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00 (администрация: пн-пт 9:00-18:00, перерыв: 13:00-14:00)",+05:00,4.9,13,87172217200,87172200613 (отдел бухгалтерии),,,,,,,,,,,,,,51.169402,71.442019,https://2gis.com/firm/70000001018070203,branch
Керемет Асар,строящийся бизнес центр,Бизнес-центры,"улица Абикен Бектуров, 17а",,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-18:00; Вс: 10:00-18:00,+05:00,2.1,9,87022746026 (отдел продаж),87019148866 (отдел продаж),87022746021 (отдел продаж),,,,,https://instagram.com/capital.dev,,https://wa.me/77022746021,https://wa.me/77022746026,https://wa.me/77019148866,,,,51.120534,71.396909,https://2gis.com/firm/70000001114817430,branch
Лазурный,бизнес-центр,Бизнес-центры,"улица Сарайшык, 7/7",,010000,,Есиль район,Астана,,Астана,Казахстан,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+05:00,5.0,51,87088081532,,,,,,,,,https://wa.me/77088081532,,,,,,51.134897,71.428896,https://2gis.com/firm/70000001044077593,branch
Легион Компани,бизнес центр,Бизнес-центры,"улица Кенесары, 4",ВП: 18,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+05:00,4.5,5,87072238811,87073027260,87012889889,,,,,,,https://wa.me/77073027260,https://wa.me/77072238811,,,,,51.161856,71.402225,https://2gis.com/firm/70000001041098996,branch
Лига,,Бизнес-центры; Аренда помещений,"улица Александр Бараев, 16",4 этаж,,Жастар м-н,Байконыр район,Астана,,Астана,Казахстан,"Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00 (администрация: пн-пт 8:00-17:00, перерыв: 13:00-14:00)",+05:00,4.9,87,87011800500,,,,,,,,,,,,,,,51.158578,71.439136,https://2gis.com/firm/70000001019836322,branch
МақТАУ,бизнес-центр,Бизнес-центры,"шоссе Коргалжын, 25а",,,,Нура район,Астана,,Астана,Казахстан,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00 (администрация: пн-пт 9:00-18:00),+05:00,4.8,39,87013602820 (администрация),87757055405 (администрация),87754373170 (бухгалтерия),,,,,,,https://wa.me/77013602820,,,,,,51.148126,71.365583,https://2gis.com/firm/70000001030456265,branch
Маржан,бизнес-центр,Бизнес-центры,"проспект Республики, 68",,,,Сарыарка район,Астана,,Астана,Казахстан,"Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 07:00-23:00; Вс: 07:00-23:00 (администрация: пн-пт 9:00-18:00, перерыв: 13:00-14:00)",+05:00,4.9,43,87017744053,,,,,,,,,https://wa.me/77019337279,,,,,,51.18629,71.422353,https://2gis.com/firm/70000001018085229,branch
Мерей,бизнес-центры,Бизнес-центры; Аренда помещений,"шоссе Алаш, 49",,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 08:00-19:30; Вт: 08:00-19:30; Ср: 08:00-19:30; Чт: 08:00-19:30; Пт: 08:00-19:30; Сб: 08:00-19:30,+05:00,5.0,8,87477507777,,,,,,,,,https://wa.me/77477507777,,,,https://t.me/+77477507777,,51.208852,71.497915,https://2gis.com/firm/70000001074379453,branch
Мерей,бизнес-центры,Бизнес-центры; Аренда помещений,"шоссе Алаш, 49а",,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00,+05:00,4.9,5,87477507777,,,,,,,,,https://wa.me/77477507777,,,,https://t.me/+77477507777,,51.20919,71.498632,https://2gis.com/firm/70000001074379435,branch
Меруерт,бизнес-центр,Бизнес-центры,"проспект Бауыржан Момышулы, 12а",1-6 этаж,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,"Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00 (администрация: пн-пт 9:00-18:00, перерыв: 13:00-14:00)",+05:00,4.9,58,87172770707,87085519032,,,,,,,,,,,,,,51.139669,71.478591,https://2gis.com/firm/70000001022693170,branch
Меруерт-Тау,бизнес-центр,Бизнес-центры,"проспект Бауыржан Момышулы, 12",,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,"Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00 (администрация: пн-пт 9:00-18:00, перерыв: 13:00-14:00)",+05:00,4.6,25,87172770707,87172770200 (приемная),,,,,,,,,,,,,,51.13925,71.480261,https://2gis.com/firm/70000001018104949,branch
Мисон,бизнес-центр,Бизнес-центры; Аренда помещений,"улица Сарайшык, 5/4",,,,Есиль район,Астана,,Астана,Казахстан,"Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00 (администрация: пн-пт 9:00-18:00, перерыв: 13:00-14:00)",+05:00,4.9,25,87172725055,,,,,,,,,,,,,,,51.136342,71.426808,https://2gis.com/firm/70000001030216516,branch
Московский,бизнес-центр,Бизнес-центры,"улица Маскеу, 40",401 офис; 4 этаж,,,Сарыарка район,Астана,,Астана,Казахстан,"Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 08:00-21:00; Вс: 08:00-21:00 (администрация: пн-пт 9:00-18:00, перерыв: 13:00-14:00)",+05:00,4.9,34,87172395868 (отдел бухгалтерии),,,,,,,,,,,,,,,51.182392,71.419692,https://2gis.com/firm/70000001018116181,branch
На Водно-Зеленом Бульваре,бизнес-центр,Бизнес-центры,"улица Динмухамед Конаев, 12/1",,,,Есиль район,Астана,,Астана,Казахстан,"Пн: 09:00-13:00, 14:00-18:00; Вт: 09:00-13:00, 14:00-18:00; Ср: 09:00-13:00, 14:00-18:00; Чт: 09:00-13:00, 14:00-18:00; Пт: 09:00-13:00, 14:00-18:00",+05:00,4.9,257,87172475796 (администратор),,,,,,,,,,,,,,,51.130054,71.428279,https://2gis.com/firm/70000001018085215,branch
Нурсая,бизнес-центр,Бизнес-центры,"улица Динмухамед Конаев, 14/3",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,4.9,26,87776913370,,,,,,,,,https://wa.me/77776913370,,,,,,51.129325,71.435904,https://2gis.com/firm/70000001028278925,branch
Нұр Тау,бизнес-центр,Бизнес-центры,"проспект Республики, 34а",901 офис; 9 этаж,,,Байконыр район,Астана,,Астана,Казахстан,"Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00 (администрация: пн-пт 9:00-18:00, перерыв: 13:00-14:00)",+05:00,4.9,223,87015557741,,,,,,,,,,,,,,,51.173098,71.426025,https://2gis.com/firm/70000001019580315,branch
ОК,бизнес-центр,Бизнес-центры,"Керей, Жанибек хандар улица, 4",,,,Нура район,Астана,,Астана,Казахстан,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-15:00,+05:00,4.9,240,87000504677,,,,,,,,,https://wa.me/77000504677,,,,,,51.116708,71.404204,https://2gis.com/firm/70000001068901034,branch
Өner,бизнес-центр,Бизнес-центры,"улица Анет баба, 9в",,,,Нура район,Астана,,Астана,Казахстан,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+05:00,4.4,11,87015558896 (отдел продаж),87782692724 (отдел продаж),,,,,,,,https://wa.me/77782692724,,,,,,51.137551,71.384628,https://2gis.com/firm/70000001116112629,branch
Өркен,деловой центр,Бизнес-центры; Аренда помещений,"улица Бейбитшилик, 25",,,,Сарыарка район,Астана,,Астана,Казахстан,"Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-20:00; Вс: 08:00-20:00 (администрация: пн-пт 9:00-18:00, перерыв: 13:00-14:00)",+05:00,4.9,193,87172292177,,,,,,,,,,,,,,,51.172161,71.418919,https://2gis.com/firm/70000001018085234,branch
Пекин Палас,,Бизнес-центры; Аренда помещений,"улица Сыганак, 45",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00; Вс: 09:00-18:00,+05:00,4.9,172,87172701515,,,,,,,,,,,,,,,51.123131,71.432901,https://2gis.com/firm/70000001090272488,branch
Санкт-Петербург,бизнес-центр,Бизнес-центры; Аренда помещений,"улица Достык, 20",1-20 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00 (администрация: пн-пт 9:00-18:00),+05:00,4.9,142,87014674702 (администрация),87000211648 (отдел аренды),87078748000 (отдел аренды),,,,,,,https://wa.me/77078748000,,,,,,51.124415,71.436322,https://2gis.com/firm/70000001018085884,branch
Сервер,бизнес-центр,Бизнес-центры; Аренда помещений,"улица Бейбитшилик, 18/1",1-3 этаж,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+05:00,4.8,6,87172328090,,,,,,,,,,,,,,,51.172481,71.420225,https://2gis.com/firm/70000001066431902,branch
ССС,бизнес-центр,Бизнес-центры,"улица Динмухамед Конаев, 2",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00 (администрация: пн-пт 9:00-18:00; сб 9:00-13:00),+05:00,4.5,15,87015384448 (отдел аренды),87172578110,87172576772 (отдел аренды),,,,,,,,,,,,,51.130829,71.418454,https://2gis.com/firm/70000001018101942,branch
Табыс,бизнес-центр,Бизнес-центры,"проспект Женис, 29",1-5 этаж,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 07:00-23:00; Вс: 07:00-23:00,+05:00,4.9,62,87019337279,,,,,,,,,https://wa.me/77019337279,,,,,,51.171961,71.411671,https://2gis.com/firm/70000001019516182,branch
Туран-18,бизнес-центр,Бизнес-центры,"проспект Туран, 18",105 кабинет; 1 этаж,,,Нура район,Астана,,Астана,Казахстан,"Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-20:00; Вс: 08:00-20:00 (администрация: пн-пт 8:00-18:00, перерыв: 13:00-14:00)",+05:00,4.9,47,87172799000,87172799069,,,,,,,,,,,,,,51.142303,71.412007,https://2gis.com/firm/70000001018123525,branch
Улытау,образовательно-спортивный центр,Бизнес-центры,"улица Сырым батыр, 74",,,Үркер ж/м,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.9,9,87017113416,87017123070,,,,,,,,https://wa.me/77017123070,,,,,,51.126808,71.254743,https://2gis.com/firm/70000001082555308,branch
Форум,бизнес-центр,Бизнес-центры; Складское хранение,"улица Жанибека Тархана, 4",202 офис; 2 этаж,,,Байконыр район,Астана,,Астана,Казахстан,"Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-20:00; Вс: 08:00-20:00 (администрация: пн-пт 9:00-18:00, перерыв: 13:00-14:00)",+05:00,4.9,37,87172373545,87719632206,,,,,,,,https://wa.me/77719632206,,,,,,51.161231,71.443898,https://2gis.com/firm/70000001018125099,branch
