Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail,Веб-сайт 1,Веб-сайт 2,Instagram,Facebook,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber,Telegram,YouTube,Широта,Долгота,2GIS URL,Тип
TS Com,бизнес-центр,Бизнес-центры,"улица Шевченко, 165Б",,050009,,Алмалинский район,Алматы,,Алматы,Казахстан,"Пн: 09:00-13:00, 14:00-18:00; Вт: 09:00-13:00, 14:00-18:00; Ср: 09:00-13:00, 14:00-18:00; Чт: 09:00-13:00, 14:00-18:00; Пт: 09:00-13:00, 14:00-18:00; Сб: 09:00-13:00",+05:00,4.9,147,87273236220,87273236219,87273236218,,,,,,,,,,,,,43.243108,76.892148,https://2gis.com/firm/9429940001532446,branch
Turar,бизнес-центр,Бизнес-центры,"проспект Сейфуллина, 502",404 офис; 4 этаж,050012,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.9,171,87273440202,,,,,,https://instagram.com/turarbc,https://facebook.com/turarbussiness,,,,,,,,43.250337,76.934173,https://2gis.com/firm/70000001034977873,branch
UTEU,бизнес-центр,Бизнес-центры; Аренда помещений,"проспект Райымбека, 160а",,050016,,Алмалинский район,Алматы,,Алматы,Казахстан,"Пн: 09:00-13:00, 14:00-18:00; Вт: 09:00-13:00, 14:00-18:00; Ср: 09:00-13:00, 14:00-18:00; Чт: 09:00-13:00, 14:00-18:00; Пт: 09:00-13:00, 14:00-18:00",+05:00,4.8,33,87774040044,,,,,,https://instagram.com/almaty.arenda.bc,,,https://wa.me/77774040044,,,,,,43.268854,76.925942,https://2gis.com/firm/70000001090340313,branch
Vanguard Prosperitas,бизнес-центр,Бизнес-центры,"улица Осипенко, 35а",208 офис; 2 этаж,050011,,Турксибский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,4.9,67,87077888043 (администрация),,,,,,,,,,,,,,,43.343882,76.940393,https://2gis.com/firm/70000001034578614,branch
Vertex,бизнес-центр,Бизнес-центры,"улица Чайковского, 170",4 этаж,050000,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.7,14,87272581879,87272587902,87473566838,,,,,,,,,,,,,43.248644,76.938991,https://2gis.com/firm/70000001018805253,branch
Verum,бизнес-центр,Бизнес-центры,"улица Мынбаева, 151",140 офис; 10 этаж,050046,,Бостандыкский район,Алматы,,Алматы,Казахстан,"Пн: 09:00-13:00, 14:00-18:00; Вт: 09:00-13:00, 14:00-18:00; Ср: 09:00-13:00, 14:00-18:00; Чт: 09:00-13:00, 14:00-18:00; Пт: 09:00-13:00, 14:00-18:00",+05:00,4.9,122,87012185122 (администрация),,,,,,,,,https://wa.me/77012185122,,,,,,43.236004,76.881615,https://2gis.com/firm/70000001025758522,branch
ZAT,бизнес-центр,Бизнес-центры,"улица Брюсова, 4",2 этаж,050034,,Жетысуский район,Алматы,,Алматы,Казахстан,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00,+05:00,4.9,38,87272247248,,,,,,,,,,,,,,,43.262046,76.891668,https://2gis.com/firm/70000001036828875,branch
Аltstadt,бизнес-центр,Бизнес-центры,"проспект Назарбаева, 120",11 офис; 3 этаж,050000,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00; Вс: 09:00-18:00,+05:00,4.9,52,87478086814,,,,,,https://instagram.com/altstadt.bc,,,https://wa.me/77478086814,,,,,,43.251967,76.947493,https://2gis.com/firm/70000001030606452,branch
Аблай,бизнес-центр,Бизнес-центры,"Жандарбекова улица, 238/91 к1",1 этаж,050057,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00 (администрация: пн-вс 9:00-21:00),+05:00,4.9,144,87088660007,,,,,,,,,,,,,,,43.225765,76.9002,https://2gis.com/firm/70000001052631282,branch
Агентство барьер,бизнес-центр,Бизнес-центры; Аренда помещений,"улица Гоголя, 39",801 офис; 8 этаж,050002,,Медеуский район,Алматы,,Алматы,Казахстан,"Пн: 08:00-13:00, 14:00-17:00; Вт: 08:00-13:00, 14:00-17:00; Ср: 08:00-13:00, 14:00-17:00; Чт: 08:00-13:00, 14:00-17:00; Пт: 08:00-13:00, 14:00-17:00",+05:00,4.9,52,87779501869 (единый номер: пн-пт 9:00-18:00),87719935700 (единый номер: пн-пт 9:00-18:00),,,,,,,,,,,,,,43.261042,76.956734,https://2gis.com/firm/70000001039128965,branch
Азия Групп,​бизнес-центр,Бизнес-центры,"Братская улица, 84Б",,050061,,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-20:00; Вс: 08:00-20:00,+05:00,4.9,12,87028880475,,,,,,,,,https://wa.me/77028880475,,,,,,43.267448,76.874208,https://2gis.com/firm/70000001092770086,branch
Азия-Мост,бизнес-центр,Бизнес-центры,"улица Тимирязева, 42 к15",цокольный этаж,050057,,Бостандыкский район,Алматы,,Алматы,Казахстан,"Пн: 09:00-13:00, 14:00-18:00; Вт: 09:00-13:00, 14:00-18:00; Ср: 09:00-13:00, 14:00-18:00; Чт: 09:00-13:00, 14:00-18:00; Пт: 09:00-13:00, 14:00-18:00",+05:00,4.9,29,87016852881,87076125616 (отдел аренды),,,,,,,,https://wa.me/77076125616,,,,,,43.21767,76.905724,https://2gis.com/firm/9429940000837007,branch
Азия-С,бизнес-центр,Бизнес-центры,"микрорайон Сайран, 14",,050062,Сайран м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,"Пн: 08:00-13:00, 14:00-22:00; Вт: 08:00-13:00, 14:00-22:00; Ср: 08:00-13:00, 14:00-22:00; Чт: 08:00-13:00, 14:00-22:00; Пт: 08:00-13:00, 14:00-22:00",+05:00,4.8,59,87272655870,,,,,,,,,,,,,,,43.23556,76.863814,https://2gis.com/firm/9429940000880815,branch
Алатау,бизнес-центр,Бизнес-центры,"проспект Абая, 151",204 офис; 2 этаж,050009,,Алмалинский район,Алматы,,Алматы,Казахстан,"Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00 (администрация: пн-пт 9:00-18:00, перерыв: 13:00-14:00)",+05:00,4.9,266,87272505086,87272502232,87716146804,,,,,,,https://wa.me/77716146804,,,,,,43.239366,76.891689,https://2gis.com/firm/9429940000794289,branch
Алатау Гранд,бизнес-центр,Бизнес-центры; Аренда помещений,"улица Тимирязева, 28в",1 этаж,050040,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,4.9,278,87272608040 (администрация),87272608560,87272608562,,,,,,,,,,,,,43.229684,76.932996,https://2gis.com/firm/9429940000791993,branch
Алинур,бизнес-центр,Бизнес-центры; Аренда помещений,"проспект Абылай хана, 235/1",1 этаж,040901,,,Каскелен,Карасайский район,Алматинская область,Казахстан,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+05:00,4.9,8,87076909979,,,,,,,,,https://wa.me/77076909979,,,,,,43.203256,76.617645,https://2gis.com/firm/70000001094743094,branch
Алматыгипрогор,бизнес-центр,Бизнес-центры,"проспект Абылай хана, 60",306 офис; 3 этаж,050004,,Алмалинский район,Алматы,,Алматы,Казахстан,Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00; Вс: 09:00-18:00,+05:00,4.9,42,87272733811,,,,,,,,,,,,,,,43.26326,76.940756,https://2gis.com/firm/70000001034937619,branch
Алтын Гасыр,бизнес-центр,Бизнес-центры,"улица Шевченко, 118",1 этаж,050022,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-20:00; Вс: 08:00-20:00 (администрация: пн-пт 8:00-18:00),+05:00,4.9,40,87272440440,,,,,,,,,,,,,,,43.244574,76.926413,https://2gis.com/firm/9429940001090185,branch
Алтын Заман,бизнес-центр,Бизнес-центры,"проспект Сейфуллина, 498",1 этаж,050012,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,4.9,429,87273150605,,,,,,,,,,,,,,,43.251586,76.933636,https://2gis.com/firm/9429940001536524,branch
Аманат,бизнес-центр,Бизнес-центры,"улица Толе би, 286/7",4 этаж,050005,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00 (администрация: перерыв пн-пт 13:00-14:00),+05:00,4.9,40,87023333724,,,,,,https://instagram.com/amanat_rent,,,,,,,,,43.247501,76.86825,https://2gis.com/firm/70000001066162976,branch
Аманат,бизнес-центр,Бизнес-центры,"улица Макатаева, 127Б",,050000,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.9,67,87272796397 (администрация),,,,,,,,,,,,,,,43.263259,76.930476,https://2gis.com/firm/70000001018207748,branch
Арбат,бизнес-центр,Бизнес-центры; Аренда помещений,"проспект Назарбаева, 48а",,050004,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-20:00,+05:00,4.9,84,87079902675,,,,,,,,,https://wa.me/77079902675,,,,,,43.262399,76.946099,https://2gis.com/firm/70000001082849977,branch
Баум Парк,бизнес-центр,Бизнес-центры,"проспект Суюнбая, 211",,050056,,Турксибский район,Алматы,,Алматы,Казахстан,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00,+05:00,4.9,26,87272433719,87017164598,,,,,,,,https://wa.me/77017164598,,,,,,43.315016,76.957366,https://2gis.com/firm/70000001041073660,branch
Берекет,бизнес-центр,Бизнес-центры,"улица Ауэзова, 14а",4 этаж,050026,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 08:00-18:00; Вт: 08:00-18:00; Ср: 08:00-18:00; Чт: 08:00-18:00; Пт: 08:00-18:00,+05:00,4.9,82,87273410335,87273410334,,,,,,,,,,,,,,43.253558,76.902607,https://2gis.com/firm/9429940000943163,branch
Бизнес-парк на Райымбека,,Бизнес-центры,"проспект Райымбека, 212/1",215 офис; 2 этаж,050034,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,4.1,78,87015310492,,,,,,,,,https://wa.me/77015310492,,,,,,43.260242,76.892232,https://2gis.com/firm/70000001080431299,branch
Бизнес-Сити,бизнес-центр,Бизнес-центры,"улица Жамбыла, 114","122, 124 офис; 1 этаж",050012,,Алмалинский район,Алматы,,Алматы,Казахстан,"Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00 (администрация: пн-вс 9:00-18:00, перерыв: 13:00-14:00)",+05:00,4.9,161,87052738338,,,,,,,,,,,,,,,43.246111,76.926093,https://2gis.com/firm/9429940001090210,branch
Бизнес-центр,,Бизнес-центры,"улица Керуентау, 2/6",,050052,Мамыр м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-20:00; Вс: 08:00-20:00,+05:00,4.8,7,87012555554 (администратор),,,,,,,,,,,,,,,43.199916,76.84038,https://2gis.com/firm/70000001103993765,branch
Бизнес-центр,,Бизнес-центры; Аренда помещений,"улица Макатаева, 127/3",,050000,,Алмалинский район,Алматы,,Алматы,Казахстан,"Пн: 09:00-13:00, 14:00-18:00; Вт: 09:00-13:00, 14:00-18:00; Ср: 09:00-13:00, 14:00-18:00; Чт: 09:00-13:00, 14:00-18:00; Пт: 09:00-13:00, 14:00-18:00",+05:00,4.9,58,87273131032,87778654557 (аренда помещений),,,,,,,,,,,,,,43.262908,76.924492,https://2gis.com/firm/70000001088979292,branch
Бизнес-центр,,Бизнес-центры; Аренда помещений,"микрорайон Аксай-4, 8Б",,050063,Аксай-4 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.8,11,87014580250 (администратор),,,,,,,,,https://wa.me/77014580250,,,,https://t.me/+77014580250,,43.232599,76.83912,https://2gis.com/firm/70000001064921418,branch
Бизнес-центр,,Бизнес-центры,"улица Чайкиной, 1/1",,050020,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,5.0,44,87026044411,,,,,,,,,,,,,,,43.215801,76.966884,https://2gis.com/firm/70000001034256127,branch
Бизнес-центр,,Бизнес-центры,"1-й микрорайон, 61/1",1 этаж,050062,1-й м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00 (администрация: пн-пт 9:00-18:00),+05:00,4.9,19,87272245050,87077555866,,,,,,,,https://wa.me/77077555866,,,,,,43.23264,76.852547,https://2gis.com/firm/70000001030467728,branch
Бруклин,бизнес-центр,Бизнес-центры,"микрорайон Астана, 1/12",313 офис; 3 этаж,050036,Астана м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+05:00,4.9,18,87771999566,87785550893,,,,,,,,https://wa.me/77771999566,https://wa.me/77785550893,,,,,43.212402,76.856698,https://2gis.com/firm/70000001089125717,branch
Гранит Риэлти Инвестмент,бизнес-центр,Бизнес-центры,"Хусаинова улица, 281",1 этаж,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,"Пн: 09:00-13:00, 14:00-18:00; Вт: 09:00-13:00, 14:00-18:00; Ср: 09:00-13:00, 14:00-18:00; Чт: 09:00-13:00, 14:00-18:00; Пт: 09:00-13:00, 14:00-18:00",+05:00,4.9,18,87273022902,87273022667,,,,,,,,,,,,,,43.199284,76.891793,https://2gis.com/firm/9429940000794613,branch
Данаида,бизнес-центр,Бизнес-центры,"улица Монгольская, 44",101 офис; 1 этаж,050026,,Алмалинский район,Алматы,,Алматы,Казахстан,"Пн: 09:00-13:00, 14:00-18:00; Вт: 09:00-13:00, 14:00-18:00; Ср: 09:00-13:00, 14:00-18:00; Чт: 09:00-13:00, 14:00-18:00; Пт: 09:00-13:00, 14:00-18:00",+05:00,4.9,72,87477939621,,,,,,,,,,,,,,,43.263184,76.914668,https://2gis.com/firm/70000001028888545,branch
Дарай,бизнес-центр,Бизнес-центры,"улица Гоголя, 89а",,050004,,Алмалинский район,Алматы,,Алматы,Казахстан,"Пн: 09:00-13:00, 14:00-18:00; Вт: 09:00-13:00, 14:00-18:00; Ср: 09:00-13:00, 14:00-18:00; Чт: 09:00-13:00, 14:00-18:00; Пт: 09:00-13:00, 14:00-18:00",+05:00,4.9,24,87272735250,,,,,,,,,,,,,,,43.260624,76.941678,https://2gis.com/firm/9429940001109257,branch
Дария,бизнес-центр,Бизнес-центры,"улица Толе би, 216г",1 офис; 2 этаж,050009,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 08:30-20:00; Вт: 08:30-20:00; Ср: 08:30-20:00; Чт: 08:30-20:00; Пт: 08:30-20:00; Сб: 08:30-20:00,+05:00,4.9,36,87077642061,87017537553,,,,,,,,https://wa.me/77077642061,,,,,,43.25033,76.887022,https://2gis.com/firm/9429940000937188,branch
Достык 282,бизнес-центр,Бизнес-центры,"проспект Достык, 282",1 этаж,050020,,Медеуский район,Алматы,,Алматы,Казахстан,"Пн: 09:00-13:00, 14:00-18:00; Вт: 09:00-13:00, 14:00-18:00; Ср: 09:00-13:00, 14:00-18:00; Чт: 09:00-13:00, 14:00-18:00; Пт: 09:00-13:00, 14:00-18:00",+05:00,4.9,15,87775525739,87273110831,,,,,,,,,,,,,,43.217922,76.964774,https://2gis.com/firm/70000001033472672,branch
Жел Тау,бизнес-центр,Бизнес-центры,"улица Егизбаева, 7в",7 этаж,050046,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,4.8,23,87075017550,87079001254,,,,,,,,,,,,,,43.231824,76.885453,https://2gis.com/firm/70000001026517029,branch
Желтоксан,бизнес-центр,Бизнес-центры,"улица Желтоксан, 111а",,050000,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,4.9,43,87772885288,87764995010,87017995010,,,,,,,https://wa.me/77772885288,https://wa.me/77764995010,https://wa.me/77017995010,,,,43.255421,76.938696,https://2gis.com/firm/70000001082786244,branch
Жетысу,бизнес-центр,Бизнес-центры,"проспект Райымбека, 211",1 этаж,050016,,Жетысуский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-13:00,+05:00,4.8,21,87272333265 (справочная),87058887305 (директор),,,,,,,,,,,,,,43.269684,76.923816,https://2gis.com/firm/70000001027839936,branch
Жетысу,бизнес-центр,Бизнес-центры,"улица Тулебаева, 38/61",3 этаж,050004,,Медеуский район,Алматы,,Алматы,Казахстан,"Пн: 09:00-13:00, 14:00-18:00; Вт: 09:00-13:00, 14:00-18:00; Ср: 09:00-13:00, 14:00-18:00; Чт: 09:00-13:00, 14:00-18:00; Пт: 09:00-13:00, 14:00-18:00",+05:00,4.9,140,87272736217,,,,,,,,,,,,,,,43.265051,76.948659,https://2gis.com/firm/9429940000854616,branch
Кадам Инвест,бизнес-центр,Бизнес-центры,"Богенбай батыра улица, 150",1 этаж,050012,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 10:00-18:00; Вс: 10:00-18:00,+05:00,4.9,149,87273150679,87273150678,87273150691,,,,,,,,,,,,,43.252177,76.934328,https://2gis.com/firm/9429940001663167,branch
Карасай,бизнес-центр,Бизнес-центры; Аренда помещений,"улица Карасай батыра, 152/1",9 этаж,050026,,Алмалинский район,Алматы,,Алматы,Казахстан,"Пн: 07:00-13:00, 14:00-24:00; Вт: 07:00-13:00, 14:00-24:00; Ср: 07:00-13:00, 14:00-24:00; Чт: 07:00-13:00, 14:00-24:00; Пт: 07:00-13:00, 14:00-24:00",+05:00,4.9,249,87273939362,,,,,,,,,https://wa.me/77776446499,,,,,,43.248048,76.905354,https://2gis.com/firm/70000001020954626,branch
Каусар,бизнес-центр,Бизнес-центры,"улица Толе би, 286/4",1 этаж,050005,,Алмалинский район,Алматы,,Алматы,Казахстан,"Пн: 09:00-13:00, 14:00-18:00; Вт: 09:00-13:00, 14:00-18:00; Ср: 09:00-13:00, 14:00-18:00; Чт: 09:00-13:00, 14:00-18:00; Пт: 09:00-13:00, 14:00-18:00",+05:00,4.9,247,87473551111,,,,,,,,,https://wa.me/77473551111,,,,,,43.247799,76.868644,https://2gis.com/firm/70000001020956440,branch
Каусар,бизнес-центр,Бизнес-центры,"улица Толе би, 286/2",,050005,,Алмалинский район,Алматы,,Алматы,Казахстан,"Пн: 09:00-13:00, 14:00-18:00; Вт: 09:00-13:00, 14:00-18:00; Ср: 09:00-13:00, 14:00-18:00; Чт: 09:00-13:00, 14:00-18:00; Пт: 09:00-13:00, 14:00-18:00",+05:00,4.9,193,87473551111,,,,,,,,,https://wa.me/77473551111,,,,,,43.247791,76.869436,https://2gis.com/firm/9429940001695974,branch
Квартал,бизнес-центр,Бизнес-центры,"проспект Жибек Жолы, 50 блок В",,050002,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+05:00,4.9,155,87750863131,,,,,,https://instagram.com/__bc.kvartal__,https://facebook.com/kvartalkz,https://vk.com/kvartalkz,,,,viber://chat/?number=77750863131,,,43.26219,76.954617,https://2gis.com/firm/70000001018919094,branch
Коктем-2,бизнес-центр,Бизнес-центры,"проспект Достык, 176",1 этаж,050051,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 09:00-13:00,+05:00,4.7,19,87272207357,,,,,,,,,,,,,,,43.232297,76.960187,https://2gis.com/firm/70000001023305602,branch
Мирас,​бизнес-центр,Бизнес-центры; Аренда помещений,"проспект Сейфуллина, 9а",,050000,,Турксибский район,Алматы,,Алматы,Казахстан,"Пн: 09:00-13:00, 14:00-18:00; Вт: 09:00-13:00, 14:00-18:00; Ср: 09:00-13:00, 14:00-18:00; Чт: 09:00-13:00, 14:00-18:00; Пт: 09:00-13:00, 14:00-18:00",+05:00,4.9,55,87022222608,,,,,,,,,https://wa.me/77022222608,,,,,,43.33743,76.94694,https://2gis.com/firm/70000001075277787,branch
Мырза,бизнес-центр,Бизнес-центры,"улица Ратушного, 78а/1",,050014,,Жетысуский район,Алматы,,Алматы,Казахстан,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-20:00; Вс: 08:00-20:00,+05:00,4.9,15,87777555511,,,,,,https://instagram.com/nedvizhka_kz,,,https://wa.me/77777555511,,,,,,43.290232,76.914179,https://2gis.com/firm/70000001085272295,branch
На Татарке,бизнес-центр,Бизнес-центры,"улица Казанская, 33",1 этаж,050007,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,4.8,19,87075233659,,,,,,,,,,,,,,,43.274536,76.977359,https://2gis.com/firm/70000001046806695,branch
Навои,бизнес-центр,Бизнес-центры,"Ораза Жандосова улица, 98",213 офис; 2 этаж,050042,,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00 (администрация: пн-пт 9:00-19:00),+05:00,4.9,172,87770124113 (администрация),,,,,,,,,https://wa.me/77770124113,,,,,,43.219249,76.879809,https://2gis.com/firm/9429940001197196,branch
НефтеГаз-Дем,бизнес центр,Бизнес-центры,"Кабдолова улица, 16",,050062,,Ауэзовский район,Алматы,,Алматы,Казахстан,"Пн: 09:00-13:00, 14:00-18:00; Вт: 09:00-13:00, 14:00-18:00; Ср: 09:00-13:00, 14:00-18:00; Чт: 09:00-13:00, 14:00-18:00; Пт: 09:00-13:00, 14:00-18:00",+05:00,4.7,25,87272767869,,,,,,,,,,,,,,,43.236173,76.851138,https://2gis.com/firm/70000001095655476,branch
Нурлы Туран,бизнес-центр,Бизнес-центры,"проспект Турара Рыскулова, 140/4",409 офис; 4 этаж,050061,,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.9,53,87088588685,87009787616,,,,,,,,https://wa.me/77088588685,,,,,,43.267662,76.874801,https://2gis.com/firm/70000001020210077,branch
Ордабасы,бизнес-центр,Бизнес-центры; Аренда помещений,"Богенбай батыра улица, 241",,050026,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00,+05:00,4.8,20,87272501030 (отдел аренды),87272503555,87477056639,,,,,,,,,,,,,43.25067,76.906171,https://2gis.com/firm/9429940000787710,branch
Отан Холдинг,бизнес-центр,Бизнес-центры,"улица Нурпеисова, 269",,050000,Калкаман-2 м-н,Наурызбайский район,Алматы,,Алматы,Казахстан,Пн: 09:30-18:30; Вт: 09:30-18:30; Ср: 09:30-18:30; Чт: 09:30-18:30; Пт: 09:30-18:30; Сб: 09:30-18:30,+05:00,4.9,44,87021872263,87478118473,,,,,,,,https://wa.me/77021872263,https://wa.me/77478118473,,,,,43.205583,76.826259,https://2gis.com/firm/70000001057268473,branch
Сарканд,бизнес-центр,Бизнес-центры,"проспект Назарбаева, 248",1 этаж,050059,,Медеуский район,Алматы,,Алматы,Казахстан,"Пн: 09:00-13:00, 14:00-18:00; Вт: 09:00-13:00, 14:00-18:00; Ср: 09:00-13:00, 14:00-18:00; Чт: 09:00-13:00, 14:00-18:00; Пт: 09:00-13:00, 14:00-18:00",+05:00,4.9,43,87273137705,,,,,,,,,,,,,,,43.224112,76.953576,https://2gis.com/firm/70000001017441000,branch
Сары-Арка,бизнес-центр,Бизнес-центры,"проспект Сейфуллина, 531",307 офис; 3 этаж,050000,,Алмалинский район,Алматы,,Алматы,Казахстан,"Пн: 09:00-13:00, 14:00-18:00; Вт: 09:00-13:00, 14:00-18:00; Ср: 09:00-13:00, 14:00-18:00; Чт: 09:00-13:00, 14:00-18:00; Пт: 09:00-13:00, 14:00-18:00",+05:00,4.9,72,87272610106,87272610217,,,,,,,,,,,,,,43.256238,76.932107,https://2gis.com/firm/9429940000906641,branch
