Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram,Twitter,Facebook,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber,Telegram 1,Telegram 2,Telegram 3,YouTube,Широта,Долгота,2GIS URL,Тип
butik_9,бутик по продаже бижутерии,Косметика и парфюмерия; Бижутерия; Аксессуары к телефонам; Хозтовары; Помощь в подключении услуг связи,"микрорайон Аксай-3, 5/1",9 бутик; 1 этаж,050031,Аксай-3 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+05:00,5.0,5,87071856316,,,,,,,,,,,https://wa.me/77071856316,,,,,,,,43.238619,76.82895,https://2gis.com/firm/70000001082551979,branch
Capella perfume store,магазин парфюмерии,Косметика и парфюмерия,"проспект Назарбаева, 139",,050000,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 11:00-20:00; Вт: 11:00-20:00; Ср: 11:00-20:00; Чт: 11:00-20:00; Пт: 11:00-20:00; Сб: 11:00-20:00; Вс: 11:00-20:00,+05:00,5.0,114,87066670000,,,,,,,https://instagram.com/capella.perfume.kz,,,,https://wa.me/77066670000,,,,,,,,43.250447,76.94699,https://2gis.com/firm/70000001104654596,branch
Carestore,магазин корейской косметики,Косметика и парфюмерия,"Е. Брусиловского улица, 159 блок 4",цокольный этаж,050005,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.9,208,87785591294,,,,,,,https://instagram.com/carestore_kz,,,,https://wa.me/77785591294,,,,,,,,43.244678,76.876266,https://2gis.com/firm/70000001065080261,branch
Centella,бутик по продаже косметики,Косметика и парфюмерия,"Кабдолова улица, 1/4",6 блок,050062,,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,5.0,6,87754765372,,,,,,,https://instagram.com/centella.kzz,,,,https://wa.me/77754765372,,,,,,,,43.237625,76.849919,https://2gis.com/firm/70000001101057099,branch
Chic parfume,магазин,Косметика и парфюмерия; Ароматовары,"Кабдолова улица, 1/4",D линия; 5 блок,050062,,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.5,26,87478077306,,,,,,,https://instagram.com/riaroma.kz,,,,https://wa.me/77478077306,,,,https://t.me/+77478077306,,,,43.237478,76.84927,https://2gis.com/firm/70000001068628698,branch
claireskorea.kz,компания по оптовой продаже корейской косметики,Косметика и парфюмерия,"проспект Аль-Фараби, 105 блок 3",3 офис; 1 этаж,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,"Пн: 09:00-13:00, 14:00-18:00; Вт: 09:00-13:00, 14:00-18:00; Ср: 09:00-13:00, 14:00-18:00; Чт: 09:00-13:00, 14:00-18:00; Пт: 09:00-13:00, 14:00-18:00",+05:00,5.0,5,87053085944,,,,,,,https://instagram.com/claireskorea_cis,,https://facebook.com/claireskorea.kz,,https://wa.me/77053085944,,,,,,,,43.205379,76.912379,https://2gis.com/firm/70000001041410575,branch
Class parfum,магазин парфюмерии,Косметика и парфюмерия,"улица Розыбакиева, 33/1",34 бутик; 1 этаж,050009,Тастак-3 м-н,Алмалинский район,Алматы,,Алматы,Казахстан,Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00; Вс: 09:00-18:00,+05:00,5.0,19,87714354839,,,,,,,,,,,https://wa.me/77714354839,,,,,,,,43.25632,76.887118,https://2gis.com/firm/70000001106059388,branch
Cosmeta.kz,магазин по продаже косметики,Косметика и парфюмерия,"Алматинская улица, 64/1",,040803,4-й м-н,,Конаев,Конаев городская администрация,Алматинская область,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,2.1,15,87712135093,,,,,,,https://instagram.com/cosmeta_kaz,,,,https://wa.me/77712135093,,,,,,,,43.855298,77.051313,https://2gis.com/firm/70000001047735562,branch
cosmetica_gres_,магазин корейской косметики,Косметика и парфюмерия,"улица Титова, 11",1 этаж,040700,,,,Илийский район,Алматинская область,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+05:00,4.9,13,87756908888,,,,,,,https://instagram.com/cosmetica_gres_,,,,https://wa.me/77756908888,,,,,,,,43.415878,77.018297,https://2gis.com/firm/70000001046663023,branch
Cosmetos,магазин косметики,Косметика и парфюмерия,"улица Каныша Сатпаева, 90",2 этаж,050046,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,5.0,303,87072006880,,,,,,,https://instagram.com/cosmetos.kz,,,,https://wa.me/77072006880,,,,,,,,43.232915,76.879648,https://2gis.com/firm/70000001076988904,branch
Crazy shop 13,магазин,Косметика и парфюмерия,"микрорайон Аксай-5, 25",B62/1 офис; 2 этаж,050063,Аксай-5 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 11:00-20:00; Вт: 11:00-20:00; Ср: 11:00-20:00; Чт: 11:00-20:00; Пт: 11:00-20:00; Сб: 11:00-20:00; Вс: 11:00-20:00,+05:00,4.8,405,87071417080,,,,,,,https://instagram.com/crazy.shop.kz,,,,https://wa.me/77071417080,,,,,,,,43.231815,76.832296,https://2gis.com/firm/70000001065988811,branch
CU,корейские магазины,Косметика и парфюмерия; Быстрое питание; Магазины азиатских продуктов; Продукты быстрого приготовления; Диетические продукты; Супермаркеты; Продажа кофе,"проспект Райымбека, 101",,050016,,Жетысуский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.6,85,87273391074,,,,,,,https://instagram.com/cu_kazakhstan,,,,,,,,,,,,43.270948,76.947171,https://2gis.com/firm/70000001112302209,branch
CU,корейские магазины,Косметика и парфюмерия; Быстрое питание; Магазины азиатских продуктов; Продукты быстрого приготовления; Диетические продукты; Супермаркеты; Продажа кофе,"Байзакова улица, 280",,050040,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.9,140,87273133957,,,,,,,https://instagram.com/cu_kazakhstan,,,,,,,,,,,,43.236808,76.915985,https://2gis.com/firm/70000001112302089,branch
CU,корейские магазины,Косметика и парфюмерия; Быстрое питание; Магазины азиатских продуктов; Продукты быстрого приготовления; Диетические продукты; Супермаркеты; Продажа кофе,"улица Тимирязева, 15Б",,050040,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.5,45,87273133960,,,,,,,https://instagram.com/cu_kazakhstan,,,,,,,,,,,,43.230734,76.933161,https://2gis.com/firm/70000001110537691,branch
CU,корейские магазины,Косметика и парфюмерия; Супермаркеты; Быстрое питание; Магазины азиатских продуктов; Продукты быстрого приготовления; Диетические продукты,"улица Ади Шарипова, 106/2",,050012,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.4,56,87273390871,,,,,,,https://instagram.com/cu_kazakhstan,,,,,,,,,,,,43.245059,76.923818,https://2gis.com/firm/70000001108842030,branch
CU,корейские магазины,Косметика и парфюмерия; Быстрое питание; Магазины азиатских продуктов; Продукты быстрого приготовления; Диетические продукты; Супермаркеты; Продажа кофе,"улица Жарокова, 91",,050008,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.8,59,87273390867,,,,,,,https://instagram.com/cu_kazakhstan,,,,,,,,,,,,43.242508,76.898652,https://2gis.com/firm/70000001105997588,branch
CU,корейские магазины,Косметика и парфюмерия; Магазины азиатских продуктов; Продукты быстрого приготовления; Продажа кофе; Быстрое питание; Диетические продукты; Супермаркеты,"улица Ауэзова, 106",,050057,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.7,65,87273131239,,,,,,,https://instagram.com/cu_kazakhstan,,,,,,,,,,,,43.233869,76.90503,https://2gis.com/firm/70000001104998646,branch
CU,корейские магазины,Косметика и парфюмерия; Быстрое питание; Магазины азиатских продуктов; Продукты быстрого приготовления; Диетические продукты; Супермаркеты; Продажа кофе,"улица Байтурсынова, 78",,050022,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.8,105,87273131869,,,,,,,https://instagram.com/cu_kazakhstan,,,,,,,,,,,,43.242861,76.927396,https://2gis.com/firm/70000001103705592,branch
CU,корейские магазины,Косметика и парфюмерия; Быстрое питание; Магазины азиатских продуктов; Продукты быстрого приготовления; Диетические продукты; Супермаркеты; Продажа кофе,"2-й микрорайон, 40а",,050062,2-й м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.7,107,87273390862,,,,,,,https://instagram.com/cu_kazakhstan,,,,,,,,,,,,43.232616,76.861457,https://2gis.com/firm/70000001103542305,branch
CU,корейские магазины,Косметика и парфюмерия; Быстрое питание; Магазины азиатских продуктов; Продукты быстрого приготовления; Диетические продукты; Супермаркеты; Продажа кофе,"улица Мауленова, 123",,050022,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.7,79,87273132980,,,,,,,https://instagram.com/cu_kazakhstan,,,,,,,,,,,,43.244057,76.934839,https://2gis.com/firm/70000001102880489,branch
CU,корейские магазины,Косметика и парфюмерия; Быстрое питание; Магазины азиатских продуктов; Продукты быстрого приготовления; Диетические продукты; Супермаркеты; Продажа кофе,"улица Каныша Сатпаева, 16а",,050013,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.8,73,87273133762,,,,,,,https://instagram.com/cu_kazakhstan,,,,,,,,,,,,43.237658,76.940006,https://2gis.com/firm/70000001102880471,branch
CU,корейские магазины,Косметика и парфюмерия; Быстрое питание; Магазины азиатских продуктов; Продукты быстрого приготовления; Диетические продукты; Супермаркеты; Продажа кофе,"улица Толе би, 285/8 к14",,050031,,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 00:20-23:40; Вт: 00:20-23:40; Ср: 00:20-23:40; Чт: 00:20-23:40; Пт: 00:20-23:40; Сб: 00:20-23:40; Вс: 00:20-23:40,+05:00,4.7,196,87273133781,,,,,,,https://instagram.com/cu_kazakhstan,,,,,,,,,,,,43.245879,76.854516,https://2gis.com/firm/70000001102632707,branch
CU,корейские магазины,Косметика и парфюмерия; Быстрое питание; Магазины азиатских продуктов; Продукты быстрого приготовления; Диетические продукты,"улица Толе би, 127",,050000,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.8,95,87273131048,,,,,,,https://instagram.com/cu_kazakhstan,,,,,,,,,,,,43.253297,76.91827,https://2gis.com/firm/70000001101600697,branch
CU,корейские магазины,Косметика и парфюмерия; Быстрое питание; Магазины азиатских продуктов; Продукты быстрого приготовления; Диетические продукты; Супермаркеты; Продажа кофе,"улица Толе би, 75",,050000,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.8,63,87273133674,,,,,,,https://instagram.com/cu_kazakhstan,,,,,,,,,,,,43.254498,76.933813,https://2gis.com/firm/70000001101378416,branch
CU,корейские магазины,Косметика и парфюмерия; Быстрое питание; Магазины азиатских продуктов; Продукты быстрого приготовления; Диетические продукты; Супермаркеты; Продажа кофе,"проспект Жибек Жолы, 104",,050004,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.7,129,87273133761,,,,,,,https://instagram.com/cu_kazakhstan,,,,,,,,,,,,43.261612,76.942073,https://2gis.com/firm/70000001101378300,branch
CU,корейские магазины,Косметика и парфюмерия; Быстрое питание; Магазины азиатских продуктов; Продукты быстрого приготовления; Диетические продукты; Супермаркеты; Продажа кофе,"проспект Абая, 118 блок 1",,050046,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.8,99,87273131204,,,,,,,https://instagram.com/cu_kazakhstan,,,,,,,,,,,,43.23701,76.890294,https://2gis.com/firm/70000001101139749,branch
CU,корейские магазины,Косметика и парфюмерия; Быстрое питание; Магазины азиатских продуктов; Продукты быстрого приготовления; Диетические продукты; Супермаркеты; Продажа кофе,"микрорайон Орбита-3, 3",,050043,Орбита-3 м-н,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.8,127,87273133791,,,,,,,https://instagram.com/cu_kazakhstan,,,,,,,,,,,,43.201359,76.879042,https://2gis.com/firm/70000001100907115,branch
CU,корейские магазины,Косметика и парфюмерия; Быстрое питание; Магазины азиатских продуктов; Продукты быстрого приготовления; Диетические продукты; Супермаркеты; Продажа кофе,"проспект Абылай хана, 68",,050004,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.7,119,87273133675,,,,,,,https://instagram.com/cu_kazakhstan,,,,,,,,,,,,43.260024,76.941055,https://2gis.com/firm/70000001100538990,branch
CU,корейские магазины,Косметика и парфюмерия; Быстрое питание; Магазины азиатских продуктов; Продукты быстрого приготовления; Диетические продукты; Супермаркеты; Продажа кофе,"улица Торекулова, 91 блок 3",,050016,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.5,42,87273133793,,,,,,,https://instagram.com/cu_kazakhstan,,,,,,,,,,,,43.266337,76.927395,https://2gis.com/firm/70000001100538817,branch
CU,корейские магазины,Косметика и парфюмерия; Быстрое питание; Магазины азиатских продуктов; Продукты быстрого приготовления; Диетические продукты; Супермаркеты; Продажа кофе,"проспект Достык, 36",,050010,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.7,130,87273133783,,,,,,,https://instagram.com/cu_kazakhstan,,,,,,,,,,,,43.2535,76.956024,https://2gis.com/firm/70000001100239649,branch
CU,корейские магазины,Косметика и парфюмерия; Быстрое питание; Магазины азиатских продуктов; Продукты быстрого приготовления; Диетические продукты; Супермаркеты; Продажа кофе,"улица Гоголя, 155",,050000,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.8,146,87273133794,,,,,,,https://instagram.com/cu_kazakhstan,,,,,,,,,,,,43.258762,76.92352,https://2gis.com/firm/70000001099942108,branch
CU,корейские магазины,Косметика и парфюмерия; Быстрое питание; Магазины азиатских продуктов; Продукты быстрого приготовления; Диетические продукты; Супермаркеты; Продажа кофе,"улица Ауэзова, 165",1 этаж,050057,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.8,113,87273133914,,,,,,,https://instagram.com/cu_kazakhstan,,,,,,,,,,,,43.230497,76.904942,https://2gis.com/firm/70000001098162999,branch
CU,корейские магазины,Косметика и парфюмерия; Быстрое питание; Магазины азиатских продуктов; Продукты быстрого приготовления; Диетические продукты; Супермаркеты; Продажа кофе,"улица Толе би, 176",,050008,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.7,201,87273133802,,,,,,,https://instagram.com/cu_kazakhstan,,,,,,,,,,,,43.251416,76.899925,https://2gis.com/firm/70000001098162979,branch
CU,корейские магазины,Косметика и парфюмерия; Быстрое питание; Магазины азиатских продуктов; Продукты быстрого приготовления; Диетические продукты; Супермаркеты; Продажа кофе,"проспект Назарбаева, 36",,050016,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.8,109,87273133887,,,,,,,https://instagram.com/cu_kazakhstan,,,,,,,,,,,,43.268836,76.945306,https://2gis.com/firm/70000001097247815,branch
CU,корейские магазины,Косметика и парфюмерия; Быстрое питание; Магазины азиатских продуктов; Продукты быстрого приготовления; Диетические продукты; Супермаркеты; Продажа кофе,"улица Жарокова, 200",,050057,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.8,192,87273133803,,,,,,,https://instagram.com/cu_kazakhstan,,,,,,,,,,,,43.225745,76.90206,https://2gis.com/firm/70000001097246181,branch
CU,корейские магазины,Косметика и парфюмерия; Быстрое питание; Магазины азиатских продуктов; Продукты быстрого приготовления; Диетические продукты; Супермаркеты; Продажа кофе,"Утепова улица, 31 блок 10",,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.6,86,87273133908,,,,,,,https://instagram.com/cu_kazakhstan,,,,,,,,,,,,43.220499,76.886852,https://2gis.com/firm/70000001097246165,branch
CU,корейские магазины,Косметика и парфюмерия; Быстрое питание; Магазины азиатских продуктов; Продукты быстрого приготовления; Диетические продукты; Супермаркеты; Продажа кофе,"улица Кабанбай батыра, 139",,050012,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.7,116,87273133816,,,,,,,https://instagram.com/cu_kazakhstan,,,,,,,,,,,,43.248075,76.919103,https://2gis.com/firm/70000001097246140,branch
CU,корейские магазины,Косметика и парфюмерия; Быстрое питание; Магазины азиатских продуктов; Продукты быстрого приготовления; Диетические продукты; Супермаркеты; Продажа кофе,"улица Каныша Сатпаева, 109",,050046,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.9,117,87273133876,,,,,,,https://instagram.com/cu_kazakhstan,,,,,,,,,,,,43.234211,76.881769,https://2gis.com/firm/70000001097246102,branch
CU,корейские магазины,Косметика и парфюмерия; Быстрое питание; Магазины азиатских продуктов; Продукты быстрого приготовления; Диетические продукты; Супермаркеты; Продажа кофе,"6-й микрорайон, 3Б",,050036,6-й м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.8,354,87273133912,,,,,,,https://instagram.com/cu_kazakhstan,,,,,,,,,,,,43.223543,76.85864,https://2gis.com/firm/70000001095118020,branch
CU,корейские магазины,Косметика и парфюмерия; Быстрое питание; Магазины азиатских продуктов; Продукты быстрого приготовления; Диетические продукты; Супермаркеты; Продажа кофе,"проспект Абылай хана, 12/16",,050016,,Жетысуский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.8,124,87273133885,,,,,,,https://instagram.com/cu_kazakhstan,,,,,,,,,,,,43.271227,76.939655,https://2gis.com/firm/70000001095117968,branch
CU,корейские магазины,Косметика и парфюмерия; Быстрое питание; Магазины азиатских продуктов; Продукты быстрого приготовления; Диетические продукты; Супермаркеты; Продажа кофе,"проспект Назарбаева, 235Б",,050059,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.9,196,87273133889,,,,,,,https://instagram.com/cu_kazakhstan,,,,,,,,,,,,43.230439,76.948092,https://2gis.com/firm/70000001095117610,branch
CU,корейские магазины,Косметика и парфюмерия; Быстрое питание; Магазины азиатских продуктов; Продукты быстрого приготовления; Диетические продукты; Супермаркеты; Продажа кофе,"проспект Назарбаева, 57",,050004,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.8,113,87273133925,,,,,,,https://instagram.com/cu_kazakhstan,,,,,,,,,,,,43.264461,76.945186,https://2gis.com/firm/70000001095016769,branch
CU,корейские магазины,Косметика и парфюмерия; Быстрое питание; Магазины азиатских продуктов; Продукты быстрого приготовления; Диетические продукты; Супермаркеты; Продажа кофе,"улица Навои, 310",,050043,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.8,336,87273133926,,,,,,,https://instagram.com/cu_kazakhstan,,,,,,,,,,,,43.198887,76.887386,https://2gis.com/firm/70000001094203658,branch
CU,корейские магазины,Косметика и парфюмерия; Быстрое питание; Магазины азиатских продуктов; Продукты быстрого приготовления; Диетические продукты; Супермаркеты; Продажа кофе,"проспект Абая, 139",,050009,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.8,225,87273133814,,,,,,,https://instagram.com/cu_kazakhstan,,,,,,,,,,,,43.239653,76.897795,https://2gis.com/firm/70000001093695256,branch
CU,корейские магазины,Косметика и парфюмерия; Быстрое питание; Магазины азиатских продуктов; Продукты быстрого приготовления; Диетические продукты; Супермаркеты; Продажа кофе,"улица Гоголя, 100",,050004,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.8,132,87273133798,,,,,,,https://instagram.com/cu_kazakhstan,,,,,,,,,,,,43.258856,76.933225,https://2gis.com/firm/70000001093695219,branch
CU,корейские магазины,Косметика и парфюмерия; Быстрое питание; Магазины азиатских продуктов; Продукты быстрого приготовления; Диетические продукты; Супермаркеты; Продажа кофе,"проспект Сейфуллина, 420",,050000,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.8,137,87273133927,,,,,,,https://instagram.com/cu_kazakhstan,,,,,,,,,,,,43.262941,76.932327,https://2gis.com/firm/70000001093695165,branch
CU,корейские магазины,Косметика и парфюмерия; Быстрое питание; Магазины азиатских продуктов; Продукты быстрого приготовления; Диетические продукты; Супермаркеты; Продажа кофе,"проспект Назарбаева, 120",,050000,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.8,152,87273133941,,,,,,,https://instagram.com/cu_kazakhstan,,,,,,,,,,,,43.252406,76.947435,https://2gis.com/firm/70000001093542409,branch
